Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels
739,Project Gotham Racing 3,2005,BizarreCreations,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,8  Online,6.85,"beautiful,single,new,perfect,amazing"
740,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,PlayStation4,Up to 10 ,5.88,"new,nba,online,amazing,’"
741,Battlefield: Bad Company 2,2010,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,24  Online,8.27,"single,modern,new,big,fun"
742,The World Ends with You,2008,JupiterCorporation,Role-Playing;Action RPG;Action RPG,DS,No Online Multiplayer,8.76,"unique,interesting,amazing,top,new"
743,Torchlight II,2012,RunicGames,Role-Playing;Action RPG;Action RPG,PC,Online Multiplayer,8.89,"torchlight,new,runic,fun,single"
744,XCOM 2,2016,FiraxisGames,Strategy;Turn-Based;General;Tactics,PC,2 ,6.61,"new,tactical,original,hard,difficult"
745,Dishonored 2,2016,ArkaneStudios,Action Adventure;General,PlayStation4,No Online Multiplayer,7.02,"new,dishonored,original,big,old"
746,Injustice 2: Legendary Edition,2018,NetherRealmStudios,Action;Fighting;2D,PlayStation4,2 ,8.62,"awesome,mortal,single,online,legendary"
747,Cuphead,2017,StudioMDHR,Action;Platformer;2D,PC,not specified,8.79,"hard,old,difficult,beautiful,amazing"
748,Divinity: Original Sin Enhanced Edition,2015,LarianStudios,Role-Playing;Action RPG;Western-Style,PlayStation4,2 ,7.83,"original,turn-based,easy,old,long"
749,Minecraft: Xbox One Edition,2014,"4JStudios,MojangAB",Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,XboxOne,Up to 8 ,8.08,"new,big,easy,amazing,low"
750,Guacamelee! Super Turbo Championship Edition,2014,DrinkBoxStudios,Action;Platformer;2D,XboxOne,not specified,8.0,"new,super,free,fun,hard"
751,XCOM: Enemy Within,2013,FiraxisGames,Sci-Fi;Strategy;Turn-Based;Sci-Fi;General,Xbox360,not specified,7.83,"new,unknown,original,easy,old"
752,NCAA Football 2005,2004,EATiburon,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.43,"awesome,ea,new,big,ncaa"
753,ESPN NHL Hockey,2003,KushGames,Sports;Traditional;Ice Hockey;Sim,Xbox,1-10 ,7.76,"nhl,hockey,realistic,huge,espn"
754,NCAA Football 2004,2003,EASports,Sports;Traditional;Football;Sim,Xbox,1-4 ,8.96,"dynasty,ncaa,madden,new,online"
755,FIFA Soccer 2003,2002,EACanada,Sports;Traditional;Soccer;Sim,Xbox,1-4 ,7.31,"pro,fifa,free,awesome,iss"
756,Ratchet & Clank,2002,InsomniacGames,Action;Platformer;3D,PlayStation2,1 Player,8.87,"original,fun,new,old,amazing"
757,Tiger Woods PGA Tour 2003,2002,EASports,Sports;Traditional;Golf;Sim,PlayStation2,1-4 ,9.0,"awesome,easy,cool,addictive,incredible"
758,TimeSplitters 2,2002,FreeRadicalDesign,Action;Shooter;First-Person;Sci-Fi,GameCube,1-4 ,8.41,"hard,single,arcade,awesome,long"
759,JSRF: Jet Set Radio Future,2002,Smilebit,Action;Platformer;3D,Xbox,1-4 ,7.15,"original,awesome,fun,long,unique"
760,Red Faction,2001,VolitionInc.,Action;Shooter;First-Person;Sci-Fi,PlayStation2,1-2 ,8.06,"red,late,fps,geo-mod,big"
761,Myth II: Soulblighter,1998,"BungieSoftware,Bungie",Strategy;Real-Time;Fantasy;General,PC,1-16 ,10.0,"new,pure,awesome,unique,big"
762,Ninja Gaiden Sigma,2007,TeamNinja,Action Adventure;Fantasy;General;Fantasy,PlayStation3,1 Player,7.47,"ninja,gaiden,hard,difficult,easy"
763,Fire Emblem Fates: Special Edition,2016,IntelligentSystems,Strategy;Turn-Based;Tactics,3DS,2 ,7.06,"special,new,worth,emotional,low"
764,Pinball FX 2,2010,ZenStudios,Action;Miscellaneous;Parlor;Pinball;Pinball,Xbox360,1-4 ,8.56,"pinball,free,old,new,original"
765,Final Fantasy Tactics: The War of the Lions,2007,TOSE,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,PSP,No Online Multiplayer,7.95,"new,final,square,original,long"
766,NHL 11,2010,ElectronicArts,Sports;Traditional;Team;Ice Hockey;Sim;Sim,Xbox360,not specified,8.03,"new,nhl,hockey,pro,ea"
767,Wario Land 4,2001,Nintendo,Action;Platformer;2D,GameBoyAdvance,not specified,8.73,"awesome,old,amazing,passable,nintendo"
768,The Elder Scrolls III: Morrowind Game of the Year Edition,2003,BethesdaSoftworks,Role-Playing;First-Person,Xbox,1 Player,9.04,"new,huge,large,favorite,long"
769,WarioWare: Twisted!,2005,Nintendo,Miscellaneous;Puzzle;General,GameBoyAdvance,1 Player,9.64,"new,twisted,amazing,warioware,couple"
770,Pokemon Y,2013,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,3DS,Up to 4 ,8.25,"new,pokemon,mega,easy,beautiful"
771,Call of Duty: Black Ops,2010,Treyarch,Action;Shooter;Shooter;First-Person;Historic;Historic;Arcade,PlayStation3,Up to 18 ,5.65,"new,modern,single,cod,fun"
772,Return to Castle Wolfenstein,2001,GrayMatter,Action;Shooter;Shooter;First-Person;Historic;Historic;Arcade,PC,Online Multiplayer,8.94,"new,old,fps,hard,interesting"
773,Ori and the Blind Forest,2015,MoonStudios,Action;Platformer;2D,XboxOne,No Online Multiplayer,9.05,"beautiful,blind,new,amazing,perfect"
774,NCAA Football 07,2006,EASports,Sports;Traditional;Football;Sim,Xbox,2  Online,8.1,"new,top,big,tha,easy"
775,NBA Street,2002,EASports,Sports;Traditional;Basketball;Arcade,GameCube,1-2 ,9.57,"nba,nhl,perfect,fun,ea"
776,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation,not specified,9.65,"madden,awesome,early,unbelievable,da"
777,Shogo: Mobile Armor Division,1998,MonolithProductions,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,Online Multiplayer,9.6,"beautiful,classic,available,shogo,articulate"
778,Thirty Flights of Loving,2012,BlendoGames,Adventure;General;3D;First-Person,PC,not specified,4.28,"interesting,thirty,interactive,free,unique"
779,The Witcher 2: Assassins of Kings,2012,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,Xbox360,No Online Multiplayer,8.81,"amazing,hard,beautiful,new,big"
780,Hearthstone: Heroes of Warcraft,2014,BlizzardEntertainment,Card Battle;Strategy;Miscellaneous;Turn-Based;Card Battle,PC,2 ,4.33,"pay-to-win,new,free,casual,legendary"
781,Grand Theft Auto: Liberty City Stories,2005,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,PSP,No Online Multiplayer,7.42,"gta,new,grand,big,liberty"
782,The Walking Dead: Episode 3 - Long Road Ahead,2012,TelltaleGames,Miscellaneous;Adventure;General;Compilation;Point-and-Click,Xbox360,not specified,7.22,"episode,amazing,perfect,telltale,hard"
783,Pillars of Eternity II: Deadfire,2018,ObsidianEntertainment,Role-Playing;Western-Style,PC,No Online Multiplayer,7.46,"obsidian,big,old,original,new"
784,Medieval II: Total War,2006,CreativeAssembly,Strategy;Real-Time;Historic;General,PC,Online Multiplayer,8.41,"total,medieval,rome,huge,new"
785,Sly 2: Band of Thieves,2004,SuckerPunch,Action;Platformer;3D,PlayStation2,1 Player,8.96,"amazing,favorite,cooper,fun,final"
786,Doom 3,2005,VicariousVisions,Action;Shooter;First-Person;Sci-Fi,Xbox,4  Online,6.96,"scary,original,old,new,dark"
787,NCAA Football 2005,2004,EASports,Sports;Traditional;Football;Sim,GameCube,1-4 ,8.43,"awesome,ea,new,big,ncaa"
788,FIFA Soccer 2003,2002,EACanada,Sports;Traditional;Soccer;Sim,PlayStation2,1-8 ,7.31,"pro,fifa,free,awesome,iss"
789,Aggressive Inline,2002,"Z-Axis,Ltd.",Sports;Alternative;Skating,GameCube,1-2 ,8.18,"inline,tony,aggressive,fantastic,easy"
790,F1 2002,2002,EASports,Driving;Racing;Simulation;Formula One;Formula One;Automobile,PC,1-8 ,6.5,"f1,grand,yellow,hard,slow"
791,Tekken: Dark Resurrection,2006,NamcoBandaiGames,Action;Fighting;Fighting;3D;3D,PSP,1-2 ,8.47,"tekken,portable,new,fighting,excellent"
792,The Stanley Parable,2013,DaveyWreden,Action;Adventure;General;General;3D;First-Person;Modern,PC,not specified,7.14,"parable,new,interesting,funny,original"
793,BioShock 2,2010,2KMarin,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,Up to 10 ,7.87,"big,original,new,interesting,second"
794,ESPN NHL 2K5,2004,KushGames,Sports;Traditional;Ice Hockey;Sim,Xbox,4  Online,7.95,"hockey,nhl,ea,new,realistic"
795,BioShock 2,2010,2KMarin,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,10  Online,7.87,"big,original,new,interesting,second"
796,Counter-Strike: Source,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,Online Multiplayer,8.77,"new,realistic,old,awesome,easy"
797,Fire Emblem,2003,IntelligentSystems,Strategy;Turn-Based;Fantasy,GameBoyAdvance,1-4 ,9.11,"tactical,hard,multiple,u,advanced"
798,Fire Emblem Fates: Revelation,2016,IntelligentSystems,Strategy;Turn-Based;Tactics,3DS,not specified,7.04,"new,hard,weak,interesting,easy"
799,Sid Meier's Civilization VI,2016,FiraxisGames,Strategy;Turn-Based;4X,PC,not specified,5.67,"new,civ,big,stupid,long"
800,Battlefield 1,2016,EADICE,General;Action;Shooter;First-Person;Tactical,PC,not specified,6.67,"single,new,amazing,battlefield,big"
801,Okami HD,2017,Capcom,Action Adventure;General,XboxOne,not specified,8.49,"beautiful,unique,japanese,new,long"
802,Starcraft II: Legacy of the Void,2015,BlizzardEntertainment,Sci-Fi;Sci-Fi;Strategy;Real-Time;General;Command,PC,not specified,7.83,"new,single,long,interesting,big"
803,Diablo III,2012,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,Up to 4 ,3.85,"single,new,big,online,long"
804,Fight Night Round 4,2009,EACanada,Sports;Traditional;Individual;Boxing;Boxing;Combat;Boxing / Martial Arts,PlayStation3,not specified,6.39,"new,easy,realistic,fight,big"
805,Oddworld: Stranger's Wrath,2005,OddworldInhabitants,Action Adventure;Sci-Fi,Xbox,1 Player,9.65,"hard,top,xbox,perfect,odd"
806,Rise of Nations: Thrones & Patriots,2004,BigHugeGames,Strategy;Real-Time;Historic;General;Historic,PC,1-8 ,9.75,"new,special,old,fantastic,fun"
807,Sid Meier's Pirates!,2004,FiraxisGames,Strategy;General;General,PC,No Online Multiplayer,7.74,"original,old,new,easy,fun"
808,Error 503 Service Unavailable,not specified,not specified,no genre,not specified,not specified,8.67,"new,vietnam,long,old,close"
809,EVE Online: Special Edition,2009,CCP,Role-Playing;Miscellaneous;Massively Multiplayer Online;Compilation;Sci-Fi,PC,not specified,7.28,"new,eve,free,hard,big"
810,SteamWorld Dig 2,2017,Image&Form,Action;Action Adventure;General;Platformer;2D,Switch,No Online Multiplayer,8.95,"new,indie,amazing,big,perfect"
811,Call of Duty: Modern Warfare 3,2011,"InfinityWard,SledgehammerGames",Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,3.95,"new,modern,single,old,big"
812,FIFA Soccer 11,2010,EASports,Sports;Traditional;Team;Soccer;Sim;Sim,Xbox360,Up to 22 ,7.79,"fifa,pro,new,realistic,online"
813,LittleBigPlanet PS Vita,2012,"TarsierStudios,DoubleEleven",Action;Platformer;Platformer;3D;3D,PlayStationVita,Up to 4 ,9.17,"big,lbp,vita,new,amazing"
814,Guacamelee! Gold Edition,2013,DrinkBoxStudios,Action;Platformer;Platformer;2D;2D,PC,No Online Multiplayer,7.32,"mexican,difficult,hard,funny,fun"
815,Armadillo Run,2006,PeterStock,Miscellaneous;Puzzle;Puzzle;General;General,PC,not specified,9.0,"incredible,cute,simple,effective,old"
816,FIFA Soccer 13,2012,ElectronicArts,Sports;Traditional;Team;Soccer;Sim;Sim,PlayStation3,not specified,5.22,"fifa,new,realistic,online,ultimate"
817,Ikaruga,2018,Treasure,Action;Shooter;Shoot-'Em-Up;Vertical,Switch,No Online Multiplayer,9.09,"hard,small,old,white,long"
818,World of Warcraft: Legion,2016,BlizzardEntertainment,Role-Playing;Massively Multiplayer,PC,not specified,6.15,"new,artifact,old,boring,legendary"
819,Art of Balance,2010,Shin'en,Miscellaneous;Puzzle;Puzzle;General;Puzzle;General,Wii,1-2 ,8.29,"simple,cheap,brief,pleased,touch"
820,MVP Baseball 2005,2005,EASports,Sports;Traditional;Baseball;Sim,GameCube,1-2 ,9.08,"realistic,awesome,triple,dynasty,multiple"
821,Keep Talking and Nobody Explodes,2016,SteelCrateGames,Adventure;3D;First-Person,PlayStation4,not specified,8.22,"manual,hard,low,fast,useful"
822,Joe Danger: Special Edition,2011,HelloGames,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,not specified,7.56,"fantastic,le,pour,classic,hedgehog"
823,Cave Story +,2017,Nicalis,Action;Platformer;2D,Switch,No Online Multiplayer,8.72,"hard,normal,fantastic,pretty,manual"
824,Crimson Skies: High Road to Revenge,2003,FASAStudio,Simulation;Flight;WWII,Xbox,1-16 ,8.88,"live,awesome,single,original,smooth"
825,NASCAR Thunder 2004,2003,EATiburon,Driving;Racing;Stock Car,PlayStation2,1-2 ,8.6,"ea,huge,awesome,white,u"
826,Burnout 2: Point of Impact,2003,CriterionGames,Driving;Racing;Arcade,Xbox,1-2 ,8.61,"big,original,arcade,amazing,awesome"
827,TimeSplitters 2,2002,FreeRadicalDesign,Action;Shooter;First-Person;Sci-Fi,Xbox,1-4 ,8.41,"hard,single,arcade,awesome,long"
828,Dark Age of Camelot,2001,MythicEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,Massively Multiplayer,9.38,"classic,pvp,new,easy,gear"
829,Baldur's Gate II: Throne of Bhaal,2001,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,1-6 ,8.76,"fantastic,gate,epic,new,original"
830,Counter-Strike,2000,TheCounter-StrikeTeam,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern,PC,Online Multiplayer,9.32,"old,new,awesome,online,addictive"
831,Owlboy,2016,D-PadStudio,Fantasy;Action Adventure;General,PC,No Online Multiplayer,7.03,"pixel,hard,unique,beautiful,gorgeous"
832,The Talos Principle,2015,Croteam,Adventure;3D;First-Person;Sci-Fi,PlayStation4,not specified,8.79,"portal,philosophical,interesting,serious,talos"
833,Battlefield: Bad Company 2 Vietnam,2010,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,not specified,8.0,"new,vietnam,original,amazing,fantastic"
834,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,PC,No Online Multiplayer,8.64,"hard,difficult,super,beautiful,easy"
835,Tony Hawk's Pro Skater 4,2003,Beenox,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,1-8 ,8.94,"u,tony,huge,pro,awesome"
836,Night in the Woods,2017,InfiniteFall,Fantasy;Action Adventure;Adventure;General,PC,No Online Multiplayer,7.42,"interesting,relatable,hard,strange,perfect"
837,Ori and the Blind Forest,2015,MoonStudios,Action;Platformer;2D,PC,No Online Multiplayer,9.05,"beautiful,blind,new,amazing,perfect"
838,Need for Speed: Hot Pursuit,2010,CriterionGames,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,not specified,6.16,"hot,nfs,new,arcade,old"
839,Ridge Racer,2005,Namco,Driving;Racing;Arcade;Arcade;Automobile,PSP,1-8 ,8.14,"new,outstanding,first-gen,fun,excellent"
840,Fight Night Round 2,2005,EASports,Sports;Traditional;Boxing,PlayStation2,2  Online,9.38,"realistic,new,total,fight,awesome"
841,Nex Machina: Death Machine,2017,Housemarque,Action;Shooter;Shoot-'Em-Up;Top-Down,PlayStation4,not specified,8.48,"arcade,nex,d,twin-stick,new"
842,Nioh,2017,TeamNinja,Role-Playing;Action RPG,PlayStation4,2 ,8.47,"dark,souls,nioh,ninja,hard"
843,Animal Crossing: New Leaf,2013,Nintendo,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,3DS,Up to 4 ,9.03,"new,animal,nintendo,public,big"
844,Diablo II,2000,BlizzardNorth,Role-Playing;Action RPG;Action RPG,PC,Up to 8 ,8.56,"new,old,single,addictive,original"
845,Dead Cells,2018,MotionTwin,Action;Platformer;2D,PlayStation4,No Online Multiplayer,7.95,"new,’,ll,satisfying,hard"
846,Hellblade: Senua's Sacrifice,2018,NinjaTheory,Action Adventure;General,XboxOne,No Online Multiplayer,7.76,"mental,amazing,unique,beautiful,ninja"
847,The Walking Dead: Episode 5 - No Time Left,2012,TelltaleGames,Miscellaneous;Adventure;General;Compilation;Point-and-Click,PlayStation3,not specified,8.91,"emotional,final,entire,new,telltale"
848,NBA 2K13,2012,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,Xbox360,not specified,7.18,"new,nba,huge,hard,online"
849,The Witcher 2: Assassins of Kings,2011,CDProjektRedStudio,Role-Playing;Action RPG;Action RPG,PC,No Online Multiplayer,8.81,"amazing,hard,beautiful,new,big"
850,Tiger Woods PGA Tour 2005,2004,EASports,Sports;Traditional;Golf;Sim,GameCube,1-4 ,9.11,"easy,boring,addictive,new,awesome"
851,SSX Tricky,2001,EASportsBig,Sports;Alternative;Snowboarding,Xbox,1-2 ,9.27,"ssx,tricky,excellent,fun,awesome"
852,Oddworld: Abe's Exoddus,1998,OddworldInhabitants,Action;Platformer;2D,PlayStation,1-2 ,9.5,"original,new,unique,dark,wonderful"
853,Plants vs. Zombies,2009,PopCap,Strategy;Real-Time;Fantasy;General;Fantasy;Defense,PC,not specified,8.88,"new,addictive,easy,fun,funny"
854,Rocksmith 2014 Edition,2013,Ubisoft,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,not specified,7.64,"original,new,ubisoft,perfect,hard"
855,Burnout Paradise,2008,CriterionGames,Driving;Racing;Arcade;Arcade;Automobile,PlayStation3,Up to 8 ,6.69,"new,big,fun,online,awesome"
856,Guacamelee! Super Turbo Championship Edition,2014,DrinkBoxStudios,Action;Platformer;2D,PlayStation4,not specified,8.0,"new,super,free,fun,hard"
857,Doom 3,2004,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,4  Online,6.96,"scary,original,old,new,dark"
858,GRID,2008,Codemasters,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,PlayStation3,12  Online,7.44,"grid,realistic,fun,easy,arcade"
859,Stardew Valley,2017,ConcernedApe,Role-Playing;General,Switch,No Online Multiplayer,8.83,"stardew,new,simple,addictive,amazing"
860,Super Meat Boy,2010,TeamMeat,Action;Platformer;Platformer;2D;2D,PC,No Online Multiplayer,8.05,"super,hard,difficult,old,simple"
861,Middle-earth: Shadow of Mordor,2014,MonolithProductions,Fantasy;Action Adventure;Fantasy;Open-World,XboxOne,No Online Multiplayer,7.95,"new,fun,big,easy,interesting"
862,Halo 4,2012,343Industries,Shooter;Sci-Fi;Sci-Fi;Action;Shooter;First-Person;Arcade,Xbox360,Up to 16 ,7.56,"new,spartan,amazing,big,old"
863,Football Manager 2010,2009,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,not specified,8.42,"old,disappointed,brilliant,long,future"
864,Final Fantasy XIV: Stormblood,2017,SquareEnix,Role-Playing;Massively Multiplayer,PC,not specified,6.51,"new,red,early,final,interesting"
865,Bloodborne: The Old Hunters,2015,FromSoftware,Role-Playing;Action RPG,PlayStation4,not specified,9.23,"new,old,bloodborne,original,amazing"
866,XCOM 2,2016,FiraxisGames,Strategy;Turn-Based;General;Tactics,PlayStation4,2 ,6.61,"new,tactical,original,hard,difficult"
867,Super Street Fighter II Turbo HD Remix,2008,"BackboneEntertainment,BackboneEmeryville",Action;Fighting;Fighting;2D;2D,PlayStation3,8  Online,7.2,"online,super,new,original,beautiful"
868,Injustice 2,2017,NetherRealmStudios,Action;Fighting;2D,PlayStation4,2 ,7.75,"new,fighting,single,online,mortal"
869,SOCOM II: U.S. Navy SEALs,2003,ZipperInteractive,Action;Shooter;Third-Person;Tactical;Modern,PlayStation2,1-16 ,9.17,"online,u,socom,single,new"
870,The Witness,2016,"Thekla,Inc",Miscellaneous;General;General;Puzzle;Puzzle;Adventure;3D;First-Person,PlayStation4,not specified,6.94,"beautiful,puzzle,hard,simple,new"
871,DOOM,2016,idSoftware,Sci-Fi;Action;Shooter;First-Person;Third-Person;Arcade,XboxOne,Up to 12 ,8.6,"new,old,single,original,modern"
872,BlazBlue: Calamity Trigger,2009,ArcSystemWorks,Action;Fighting;Fighting;2D;2D,PlayStation3,not specified,8.4,"guilty,unique,anime,beautiful,deep"
873,Rallisport Challenge 2,2004,DigitalIllusions,Driving;Racing;Rally / Offroad,Xbox,1-16 ,9.06,"co-driver,impressive,easy,amazing,beautiful"
874,Oddworld: Abe's Oddysee - New 'n' Tasty,2015,JustAddWater,Action;Platformer;Platformer;2D;2D,PC,No Online Multiplayer,7.62,"original,new,hard,beautiful,perfect"
875,Battlefield 1,2016,EADICE,Action;General;Shooter;First-Person;Tactical,XboxOne,Up to 64 ,6.67,"single,new,amazing,battlefield,big"
876,Midnight Club 3: DUB Edition Remix,2006,RockstarSanDiego,Driving;Racing;GT / Street,Xbox,8  Online,9.07,"easy,fantastic,big,licensed,realistic"
877,Dark Souls III,2016,FromSoftware,Role-Playing;Action RPG,XboxOne,Up to 6 ,7.76,"dark,souls,new,hard,difficult"
878,Marvel's Spider-Man,2018,InsomniacGames,Action Adventure;Open-World,PlayStation4,not specified,9.16,"spider-man,amazing,new,insomniac,fantastic"
879,Monkey Island 2 Special Edition: LeChuck's Revenge,2010,LucasArts,Adventure;General;General;Point-and-Click,PlayStation3,not specified,8.4,"monkey,special,classic,old,original"
880,Red Dead Redemption: Undead Nightmare Pack,2010,RockstarSanDiego,Action Adventure;Historic;General;Historic;Open-World,PlayStation3,not specified,8.69,"undead,new,red,original,fun"
881,Pokemon White Version,2011,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,DS,No Online Multiplayer,7.7,"new,white,pokemon,pokémon,old"
882,Dragon Quest IX: Sentinels of the Starry Skies,2010,Level5,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,DS,No Online Multiplayer,8.95,"old,new,perfect,ds,classic"
883,Pokemon X,2013,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,3DS,Up to 4 ,8.43,"new,pokemon,easy,mega,old"
884,Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,UbisoftShanghai,Action Adventure;Modern;General;Modern,PC,1-4 ,6.93,"new,original,interesting,tutorial,enjoyable"
885,Baldur's Gate: Dark Alliance,2001,SnowblindStudios,Role-Playing;Action RPG,PlayStation2,1-2 ,8.51,"new,d,magic,fun,cool"
886,Europa Universalis II,2001,ParadoxDevelopmentStudio,Strategy;Real-Time;Historic;General;Historic,PC,not specified,9.67,"hard,important,historic,fun,addictive"
887,Tony Hawk's Pro Skater 3,2001,ShabaGames,Sports;Alternative;Skateboarding,PlayStation,1-2 ,8.17,"new,tony,pro,awesome,fantastic"
888,Metropolis Street Racer,2001,BizarreCreations,Driving;Racing;GT / Street,Dreamcast,not specified,9.75,"new,foreign,extensive,mechanic,2-3"
889,Power Stone 2,2000,Capcom,Action;Fighting;3D,Dreamcast,not specified,9.0,"super,smash,4-player,ta,awesome"
890,Burnout Paradise: The Ultimate Box,2009,CriterionGames,Driving;Racing;Arcade;Arcade;Automobile,PC,8  Online,6.33,"new,big,console,excellent,single"
891,FIFA Soccer 09,2008,EACanada,Sports;Traditional;Team;Soccer;Sim;Sim,Xbox360,24  Online,7.69,"fifa,pro,new,hard,easy"
892,Subnautica,2018,UnknownWorldsEntertainment,Adventure;General,PC,No Online Multiplayer,8.43,"survival,beautiful,new,early,amazing"
893,Jeanne d'Arc,2007,Level5,Strategy;Turn-Based;Historic;Historic;Tactics,PSP,1 Player,8.33,"final,tactical,turn-based,slow,amazing"
894,Street Fighter V: Arcade Edition,2018,Capcom,Action;Fighting;2D,PlayStation4,2 ,7.22,"new,arcade,free,fight,original"
895,Battlefield: Bad Company 2,2010,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,not specified,8.27,"single,modern,new,big,fun"
896,Guacamelee!,2013,DrinkBoxStudios,Action;Platformer;Platformer;2D;2D,PlayStationVita,not specified,8.77,"beautiful,funny,excellent,hard,deep"
897,FIFA Soccer 09,2008,EACanada,Sports;Traditional;Team;Soccer;Sim;Sim,PlayStation3,24  Online,7.69,"fifa,pro,new,hard,easy"
898,Steins;Gate,2014,M2,First-Person;Modern;Adventure;General;Visual Novel,PC,No Online Multiplayer,8.78,"visual,sci-fi,hard,right,amazing"
899,NCAA Football 06,2005,EASports,Sports;Traditional;Football;Sim,PlayStation2,2  Online,8.04,"ncaa,past,new,ea,awesome"
900,GRID,2008,Codemasters,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,PC,12  Online,7.44,"grid,realistic,fun,easy,arcade"
901,Night in the Woods,2017,InfiniteFall,Fantasy;Action Adventure;Adventure;General,PlayStation4,not specified,7.42,"interesting,relatable,hard,strange,perfect"
902,DiRT 3,2011,Codemasters,Driving;Racing;Simulation;Rally / Offroad;Rally / Offroad;Automobile,PlayStation3,not specified,6.39,"new,easy,big,realistic,awesome"
903,Critter Crunch,2009,PlayerX,Miscellaneous;Puzzle;Puzzle;General;Puzzle;General,PlayStation3,2 ,10.0,"re-invented,capybara,hand-draw,iconic,funky"
904,Crypt of the NecroDancer,2015,BraceYourselfGames,Action;Role-Playing;General;Action RPG,PC,not specified,8.7,"unique,difficult,“,new,rhythm"
905,La-Mulana,2012,"AsterizmCo.,Ltd",Action;Action Adventure;Platformer;Platformer;Open-World;2D;2D,Wii,No Online Multiplayer,6.67,"hard,awesome,live,super,non-linear"
906,Max Payne 3,2012,RockstarStudios,Action;Shooter;Shooter;Third-Person;Modern;Modern;Arcade,PlayStation3,not specified,7.29,"max,new,old,hard,awesome"
907,Pokemon Sun,2016,GameFreak,Role-Playing;Trainer,3DS,Up to 4 ,7.34,"new,pokemon,pokémon,easy,interesting"
908,Sins of a Solar Empire,2008,IroncladGames,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,10  Online,7.83,"single,big,easy,solar,slow"
909,The Walking Dead: Season Two Episode 5 - No Going Back,2014,TelltaleGames,Action;Adventure;General;General;Point-and-Click,PlayStation3,not specified,8.6,"interesting,final,multiple,strong,actual"
910,Ikaruga,2008,Treasure,Action;Shooter;Shooter;Scrolling;Scrolling;Shoot-'Em-Up;Vertical,Xbox360,2  Online,9.09,"hard,small,old,white,long"
911,Heavy Rain,2010,QuanticDream,Adventure;3D;Modern;Third-Person;Modern,PlayStation3,No Online Multiplayer,8.06,"heavy,interactive,amazing,new,quick"
912,Super Monkey Ball 2,2002,AmusementVision,Miscellaneous;Party,GameCube,1-4 ,9.24,"super,new,hard,marble,frustrating"
913,MechWarrior 4: Vengeance,2000,FASAStudio,Simulation;Sci-Fi;Vehicle;Mech;Combat,PC,1-16 ,8.6,"awesome,right,all-time,favorite,small"
914,Thief II: The Metal Age,2000,LookingGlassStudios,Action Adventure;Fantasy;General;Fantasy,PC,No Online Multiplayer,8.58,"original,big,new,’,thief"
915,Tactics Ogre: Let Us Cling Together,2011,SquareEnix,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,PSP,No Online Multiplayer,8.11,"new,original,final,low,deep"
