Title,Userscore
Burnout Paradise: The Ultimate Box,6.33
FIFA Soccer 09,7.69
Subnautica,8.43
Jeanne d'Arc,8.33
Street Fighter V: Arcade Edition,7.22
Battlefield: Bad Company 2,8.27
Guacamelee!,8.77
FIFA Soccer 09,7.69
Steins;Gate,8.78
NCAA Football 06,8.04
GRID,7.44
Night in the Woods,7.42
DiRT 3,6.39
Critter Crunch,10.0
Crypt of the NecroDancer,8.7
La-Mulana,6.67
Max Payne 3,7.29
Pokemon Sun,7.34
Sins of a Solar Empire,7.83
The Walking Dead: Season Two Episode 5 - No Going Back,8.6
Ikaruga,9.09
Heavy Rain,8.06
Super Monkey Ball 2,9.24
MechWarrior 4: Vengeance,8.6
Thief II: The Metal Age,8.58
Tactics Ogre: Let Us Cling Together,8.11
Tom Clancy's Splinter Cell Chaos Theory,8.86
Diablo II: Lord of Destruction,9.34
Monkey Island 2 Special Edition: LeChuck's Revenge,8.4
Half-Life 2: Episode One,7.96
Devil May Cry 3: Special Edition,8.57
Mass Effect 2: Lair of the Shadow Broker,9.14
DiRT 3,6.39
Syphon Filter: Dark Mirror,8.9
The Elder Scrolls III: Morrowind,8.82
The Swapper,8.58
Pokemon SoulSilver Version,9.58
Castlevania: Harmony of Dissonance,7.22
Dragon Ball FighterZ,7.93
Hitman 2: Silent Assassin,7.85
Year Walk,7.62
Batman: Arkham Knight,8.03
Dead or Alive 3,8.53
Jak II,8.1
Mario Kart 8 DLC Pack 1,8.63
Final Fantasy Tactics Advance,9.28
NCAA Football 06,8.04
Red Dead Redemption: Undead Nightmare Pack,8.69
Max Payne 3,7.29
Okami HD,8.49
Pokemon Moon,7.67
New Super Mario Bros. Wii,8.04
Elite Beat Agents,8.43
Beyond Good & Evil,8.86
Paper Mario: The Thousand-Year Door,9.44
DJ Hero,8.03
TowerFall Ascension,7.97
Tomb Raider,8.26
Hollow Knight,8.74
Mario Kart: Double Dash!!,8.29
Rayman Legends,8.95
Battlefield 3: Armored Kill,7.38
World Series Baseball 2K3,8.94
Metal Gear Solid 2: Substance,8.58
Rallisport Challenge,7.33
NHL 2002,8.45
Bangai-O,9.29
Icewind Dale,7.6
Forza Motorsport 6,8.13
Donkey Kong Country Returns,8.56
Bully,9.29
Call of Duty: Black Ops,5.65
The Messenger,7.0
The Witness,6.94
Fire Emblem Fates: Conquest,7.54
TowerFall Ascension,7.97
Tearaway,9.4
Skylanders SuperChargers,6.2
Rocket League,8.67
Metal Gear Solid: Portable Ops,8.67
Enter the Gungeon,7.39
3D Sonic the Hedgehog 2,9.08
Zack & Wiki: Quest for Barbaros' Treasure,8.69
The Walking Dead: Episode 3 - Long Road Ahead,7.22
MLB 13: The Show,8.19
Brothers in Arms: Road to Hill 30,7.01
MechAssault,8.17
NFL 2K2,6.0
Kohan: Immortal Sovereigns,10.0
FIFA 14,3.74
Animal Crossing,9.04
Hotline Miami,8.25
BlazBlue: Continuum Shift,7.38
Fight Night Round 4,6.39
SteamWorld Heist,9.17
The Legend of Zelda: Spirit Tracks,8.08
Dead Space 2,8.51
DiRT 2,8.08
Raw Data,10.0
Disgaea: Afternoon of Darkness,9.56
Wolfenstein II: The New Colossus,6.93
Pokemon HeartGold Version,9.33
NCAA Football 07,8.1
Dragon Age: Origins,8.19
Beyond Good & Evil,8.86
Diablo III: Reaper of Souls,5.65
Little King's Story,9.16
Pro Evolution Soccer 2017,7.97
Pro Evolution Soccer 2016,7.53
Titanfall 2,8.4
Bionic Commando Rearmed,7.56
Zero Escape: The Nonary Games,9.67
NASCAR 2005: Chase for the Cup,8.5
Metal Gear Solid 2: Substance,8.58
NBA 2K3,7.85
Shogun: Total War Warlord Edition,9.33
Serious Sam: The First Encounter,8.2
Grand Prix 3,9.0
MVP Baseball 2005,9.08
Rayman Origins,8.93
MLB 12: The Show,8.03
Pokemon Black Version,8.03
Axiom Verge,7.52
Call of Duty: United Offensive,9.12
Odin Sphere Leifthrasir,8.36
Wipeout HD,8.32
Divinity: Original Sin,8.48
Company of Heroes: Opposing Fronts,7.96
3D Out Run,9.75
Destiny 2,4.47
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.56
Owlboy,7.03
Psychonauts,9.03
DiRT 2,8.08
Gears of War,7.6
Rayman Origins,8.93
Sin & Punishment: Star Successor,7.86
Forza Horizon 3: Blizzard Mountain,8.33
Out of the Park Baseball 4,9.0
Super Monkey Ball,7.6
Velocity,
Iconoclasts,7.57
Pinball FX 2: Star Wars Pinball,8.29
Spelunky,7.47
Dark Souls II: Scholar of the First Sin,7.59
Resistance 2,7.49
INSIDE,8.57
flower,7.29
Europa Universalis IV,8.25
Diablo III,3.85
Sonic Mania Plus,9.61
XCOM 2,6.61
NBA 2K16,5.41
Pikmin 3,9.21
NHL 2004,6.72
SSX Tricky,9.27
Zeus: Master of Olympus,9.6
Driver,8.72
Fight Night Round 2,9.38
Dark Souls II: Crown of the Ivory King,8.0
Velocity Ultra,8.83
Puzzle Quest: Challenge of the Warlords,8.44
Total War: WARHAMMER II,7.22
Forza Horizon 3: Hot Wheels,9.67
Hex: Shards of Fate,5.98
World of Warcraft: Warlords of Draenor,4.76
LittleBigPlanet,8.22
PixelJunk Shooter,8.5
"Warhammer 40,000: Dawn of War - Dark Crusade",8.72
Dark Cloud 2,9.27
GRID,7.44
Tom Clancy's Splinter Cell Pandora Tomorrow,8.79
Iconoclasts,7.57
Kingdom Hearts II,8.62
Fallout 4,5.61
NBA 2K14,4.33
Bayonetta,7.9
Ratchet & Clank Future: A Crack in Time,9.01
ESPN NBA Basketball,8.41
MotoGP 2,8.89
Guilty Gear X2,9.82
Sonic Advance,7.59
Half-Life,9.36
Commandos 2: Men of Courage,8.24
Spider-Man,8.78
Tenchu: Stealth Assassins,9.62
Shin Megami Tensei: Persona 3,8.81
PixelJunk Monsters Deluxe,8.38
Forza Horizon 3,7.81
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,9.26
Unreal Tournament III,7.2
LostWinds: Winter of the Melodias,9.67
Thumper,8.18
Bastion,8.8
The Witness,6.94
Gone Home,5.3
Pac-Man Championship Edition DX +,6.44
Kirby's Epic Yarn,8.65
Bomberman Blast,8.0
DJ Hero 2,8.57
Uncharted: The Nathan Drake Collection,8.47
The Elder Scrolls IV: Shivering Isles,8.92
Rocket League,8.67
Supreme Commander,8.14
Tales from the Borderlands: A Telltale Game Series,8.44
Total War: Shogun 2 - Fall of the Samurai,8.38
Startopia,9.0
NBA Live 2001,
Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,9.0
Silent Hill,9.1
Fallout 2,9.07
Kirby: Canvas Curse,8.14
Burnout Legends,8.32
Final Fantasy XIV: Heavensward,8.09
Football Manager 2013,5.29
Out of the Park Baseball 14,8.83
ESPN NHL 2K5,7.95
DiRT Rally,8.0
The Witcher: Enhanced Edition,7.55
Crypt of the NecroDancer: Nintendo Switch Edition,8.67
UFC Undisputed 3,7.45
Borderlands: The Secret Armory of General Knoxx,8.44
Call of Duty 2,7.92
F1 2017,8.04
Astebreed,8.0
Winning Eleven: Pro Evolution Soccer 2007,8.18
NASCAR 2005: Chase for the Cup,8.5
Onimusha: Warlords,7.76
Ground Control,8.43
Cuphead,8.79
Velocity 2X,6.73
Killer Instinct Season 3,8.4
Valkyria Chronicles,8.76
Pillars of Eternity: Complete Edition,7.46
Shovel Knight,8.7
Resistance: Fall of Man,7.82
Boom Blox Bash Party,8.0
Stardew Valley,8.83
Rise of the Tomb Raider,8.19
NBA 2K14,4.33
Total War: WARHAMMER,7.18
Might & Magic: Clash of Heroes,9.0
Madden NFL 06,6.51
BlazBlue: Calamity Trigger,8.4
Resident Evil 5,6.96
Saints Row IV,7.08
Need for Speed: Most Wanted U,7.22
Unavowed,8.6
DmC: Devil May Cry Definitive Edition,7.75
Mercenaries,9.14
Final Fantasy X / X-2 HD Remaster,8.59
Black Mesa,9.09
Guitar Hero: Metallica,8.69
EverQuest: Omens of War,
Golden Sun: The Lost Age,9.64
Steel Beasts,9.33
Test Drive V-Rally,9.0
Total Annihilation,9.66
Monster Hunter 4 Ultimate,8.3
Need for Speed: Hot Pursuit,6.16
FIFA Soccer 13,5.22
Patapon,8.57
Sid Meier's Civilization IV: Beyond the Sword,8.96
Sky Force Reloaded,9.67
Dragon Age: Origins,8.19
The Sims 3,6.97
NBA 2K16,5.41
Freedom Force vs The 3rd Reich,6.22
Fluidity,9.56
Thimbleweed Park,8.25
Titanfall,7.14
Donkey Kong Country: Tropical Freeze,9.09
Picross 3D: Round 2,8.0
Tomb Raider,8.26
The Binding of Isaac: Rebirth,8.44
Tribes: Ascend,8.3
Titanfall,7.14
Borderlands 2: Tiny Tina's Assault on Dragon Keep,8.88
Rayman Origins,8.93
Tony Hawk's Underground,8.91
FIFA Soccer 2003,7.31
Lunar 2: Eternal Blue Complete,9.44
Alundra,9.45
Minecraft: Switch Edition,7.72
Gears of War 4,7.82
Shantae and the Pirate's Curse,9.23
Guilty Gear Xrd -REVELATOR-,8.59
Pinball FX 2: Marvel Pinball,9.5
God of War: Ghost of Sparta,8.53
Trials HD,9.0
Her Story,6.16
Diablo III: Ultimate Evil Edition,8.11
Punch-Out!!,9.39
ESPN College Hoops 2K5,8.58
Suikoden III,8.56
Radiant Silvergun,9.33
Starcraft II: Heart of the Swarm,7.3
Dishonored 2,7.02
Resident Evil 7: biohazard,7.44
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.56
Mass Effect 2: Lair of the Shadow Broker,9.14
LEGO Star Wars II: The Original Trilogy,8.93
Guilty Gear X2 #Reload,8.67
Midnight Club II,8.66
Dungeon Siege,7.73
Star Wars: Knights of the Old Republic II: The Sith Lords,8.54
Crysis 2,6.85
Crashmo,9.25
Mario & Luigi: Partners in Time,8.1
Beyond Good & Evil,8.86
Mortal Kombat,8.65
Call of Duty: Modern Warfare 2,5.28
Guitar Hero World Tour,6.29
Brothers: A Tale of Two Sons,8.68
SoulCalibur III,8.68
NHL 12,6.39
NCAA Football 11,6.73
Street Fighter III: Third Strike Online Edition,8.22
Final Fantasy XII: The Zodiac Age,8.3
The Secret of Monkey Island: Special Edition,9.17
Max Payne 2: The Fall of Max Payne,8.85
Homeworld Remastered Collection,7.43
Galactic Civilizations II: Dread Lords,7.42
Planet Puzzle League,8.75
Wolfenstein II: The New Colossus,6.93
Animal Crossing: Wild World,8.62
Tomb Raider,8.26
DmC: Devil May Cry,6.13
Medal of Honor Underground,9.8
Dino Crisis 2,9.48
Star Trek: Voyager Elite Force,8.6
Need for Speed: High Stakes,6.67
Dragon Ball FighterZ,7.93
Street Fighter III: Third Strike Online Edition,8.22
Professor Layton and the Unwound Future,8.93
Assassin's Creed IV: Black Flag,7.64
We Love Katamari,9.44
Worldwide Soccer Manager 2008,7.2
Dance Central 2,8.56
Sly Cooper and the Thievius Raccoonus,8.4
IL-2 Sturmovik: Forgotten Battles,9.67
Geometry Wars: Retro Evolved,8.91
Fight Night Round 3,8.13
F1 2016,8.69
Amplitude,8.89
Bastion,8.8
DiRT 3,6.39
Minecraft: PlayStation 3 Edition,7.98
Sonic Mania,9.04
The Legend of Zelda: Four Swords Adventures,7.7
Joe Danger,7.71
Tales of Symphonia,9.22
Fight Night Champion,6.79
NBA Live 2004,7.59
Colin McRae Rally 3,6.73
Tom Clancy's Rainbow Six 3,8.86
Colin McRae Rally 3,6.73
Burnout 2: Point of Impact,8.61
Unreal Tournament 2003,7.4
Age of Wonders II: The Wizard's Throne,8.0
Daytona USA,9.33
Links 2001,
EverQuest: The Ruins of Kunark,
Full Throttle,9.29
Katamari Damacy,8.78
The Lord of the Rings Online: Shadows of Angmar,7.7
Grand Theft Auto: Vice City Stories,8.0
Pony Island,7.97
Tomb Raider: Definitive Edition,8.09
"Warhammer 40,000: Dawn of War",8.96
Diablo III,3.85
Tom Clancy's Ghost Recon Advanced Warfighter 2,8.33
Tales From Space: Mutant Blobs Attack,9.0
Max Payne 3,7.29
Skate,8.51
Warhammer Online: Age of Reckoning,7.6
Resident Evil 7: biohazard,7.44
NHL 12,6.39
Rise of the Tomb Raider,8.19
Dead Space,7.98
PlayerUnknown's Battlegrounds,4.38
Advance Wars: Days of Ruin,8.76
The Elder Scrolls IV - Knights of the Nine,7.38
Rocksmith 2014 Edition,7.64
Bionic Commando Rearmed,7.56
DJ Hero,8.03
Forza Horizon 2,9.07
FIFA 14,3.74
Observer,6.2
ZEN Pinball 2,7.77
Moto Racer Advance,
Command & Conquer: Red Alert 2 - Yuri's Revenge,8.85
Europa Universalis,7.0
Escape from Monkey Island,8.28
SteamWorld Heist,9.17
Robo Recall,8.0
IL-2 Sturmovik: 1946,8.65
XCOM: Enemy Within,7.83
Final Fantasy XIV: Heavensward,8.09
Bayonetta,7.9
Dance Central 3,8.36
Shatter,8.0
Final Fantasy XIV Online: A Realm Reborn,7.01
Titanfall 2,8.4
Luigi's Mansion: Dark Moon,8.79
DJ Hero 2,8.57
Guitar Hero III: Legends of Rock,7.71
Psychonauts,9.03
Guitar Hero 5,6.42
Battlefield 3: Back to Karkand,7.54
F-Zero: Maximum Velocity,8.6
West of Loathing,8.5
Dying Light: The Following,8.44
Destiny: The Taken King,6.4
Heroes of the Storm,5.77
DiRT 4,7.09
Code:Realize - Guardian of Rebirth,8.33
Tom Clancy's Rainbow Six Vegas,8.24
Civilization III: Conquests,9.4
Turok 2: Seeds of Evil,8.67
Path of Exile,8.09
Battlefield: Bad Company 2 Vietnam,8.0
Guilty Gear Xrd: Rev 2,8.0
OlliOlli2: Welcome to Olliwood,6.4
Assassin's Creed II,8.31
Forza Motorsport 7,5.32
Lovers in a Dangerous Spacetime,7.91
NHL 08,8.17
Mortal Kombat X,8.13
Gunman Clive HD Collection,8.0
Persona 4 Arena,7.54
Viewtiful Joe 2,7.56
Day of the Tentacle Remastered,8.38
The Elder Scrolls IV: Shivering Isles,8.92
Madden NFL 06,6.51
Xenoblade Chronicles 3D,7.93
Fire Emblem Fates: Birthright,8.0
DiRT Rally,8.0
Sonic Mania,9.04
Rocket League,8.67
The Legend of Zelda: Twilight Princess HD,8.62
Dark Souls Remastered,6.2
Injustice 2,7.75
The Legend of Heroes: Trails of Cold Steel,9.17
Resogun: Heroes,8.67
Tetris Party,7.83
ESPN College Hoops 2K5,8.58
Allegiance,10.0
Monster Hunter Generations,8.15
Radiant Historia,9.1
Shantae: Risky's Revenge,8.8
Castlevania: Portrait of Ruin,8.22
Night in the Woods,7.42
Tom Clancy's Splinter Cell: Conviction,6.64
Aggressive Inline,8.18
The Talos Principle,8.79
Cities: Skylines,8.92
DiRT Rally,8.0
Project Gotham Racing 4,8.47
Metroid Prime: Hunters,7.61
Thumper,8.18
Crypt of the NecroDancer,8.7
Metroid: Samus Returns,8.73
OlliOlli2: Welcome to Olliwood,6.4
Dragon Quest VIII: Journey of the Cursed King,8.65
Midnight Club 3: DUB Edition Remix,9.07
NHL 08,8.17
Ni no Kuni: Wrath of the White Witch,8.64
The Wolf Among Us: Episode 1 - Faith,8.77
UFC Undisputed 2010,6.04
Bad Request,9.09
Plants vs. Zombies,8.88
NBA Live 2004,7.59
NHL 2004,6.72
Hitman 2: Silent Assassin,7.85
Falcon 4.0,9.0
Tom Clancy's Rainbow Six,8.29
Oddworld: Abe's Oddysee,8.85
Madden NFL 2005,7.74
Legend of Grimrock II,8.42
Madden NFL 09,5.28
Guitar Hero III: Legends of Rock,7.71
The Sly Collection,8.6
Tatsunoko vs. Capcom: Ultimate All-Stars,8.75
"Sam & Max Episode 205: What's New, Beelzebub?",7.33
Daxter,8.68
Dragon Age: Inquisition,5.85
Tales from the Borderlands: A Telltale Game Series,8.44
Hearthstone: Whispers of the Old Gods,3.36
MLB 08: The Show,9.03
Unreal Championship 2: The Liandri Conflict,7.08
Yakuza 0,9.08
Firewatch,5.96
Battlefield 4,5.33
Tom Clancy's Rainbow Six: Vegas,7.56
Super Street Fighter IV: 3D Edition,8.41
City of Heroes,8.26
Mass Effect 3: Special Edition,8.0
Castle Crashers,9.23
Pokemon Pearl Version,8.72
Lara Croft and the Guardian of Light,8.24
BlazBlue: Chrono Phantasma Extend,8.67
SWAT 4,8.62
Midnight Club II,8.66
Aggressive Inline,8.18
Clive Barker's Undying,9.61
Rollcage Stage II,8.8
EverQuest,7.29
F-Zero X,8.44
Trials Evolution: Origin of Pain,8.75
Tom Clancy's Splinter Cell Double Agent,7.83
Pillars of Eternity: Complete Edition,7.46
Bravely Default,7.76
DOOM,8.6
Far Cry Instincts,8.08
"Warhammer 40,000: Dawn of War II",6.86
Dark Souls Remastered,6.2
Paradigm,8.8
NBA 2K14,4.33
Battlefield 3,7.65
Tekken Tag Tournament,8.72
Onimusha 3: Demon Siege,7.67
Red Faction: Guerrilla,7.71
Final Fantasy X-2,7.52
Guacamelee! 2,8.65
Battlerite,8.18
Command & Conquer 3: Tiberium Wars,6.51
Madden NFL 10,5.95
Batman: Arkham Knight,8.03
Assassin's Creed III,6.58
Astro Boy: Omega Factor,8.71
BlazBlue: Continuum Shift,7.38
Life is Strange,8.53
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.56
Hotline Miami,8.25
Guitar Hero World Tour,6.29
Nioh: Bloodshed's End,9.67
Out of the Park Baseball 13,9.33
NHL 2004,6.72
World Series Baseball,9.0
Wizardry 8,8.93
Aliens Versus Predator 2,9.24
Operation Flashpoint: Cold War Crisis,9.5
Rumble Racing,8.8
Metal Slug X,9.43
Tropico,9.09
Giants: Citizen Kabuto,9.77
MotoGP 3: Ultimate Racing Technology,8.0
Rocket League,8.67
Dead or Alive 4,7.18
NASCAR SimRacing,4.78
Pure,7.56
LocoRoco 2,8.4
Crysis 2,6.85
The Lord of the Rings Online: Mines of Moria,8.36
SoulCalibur IV,7.67
Kingdom Hearts,8.95
The Binding of Isaac: Afterbirth,8.65
Hotline Miami,8.25
Amnesia: The Dark Descent,8.74
SoulCalibur IV,7.67
Project Gotham Racing,8.07
Fable,7.56
Forza Horizon,8.16
Chaos Reborn,8.82
Assassin's Creed Origins,7.06
GTR: FIA GT Racing Game,9.0
Final Fantasy IX,9.1
Shadow Hearts: Covenant,9.0
Rogue Legacy,7.47
Madden NFL 10,5.95
Syphon Filter: Logan's Shadow,9.7
Football Manager 2011,8.86
Dust: An Elysian Tail,8.99
NBA Live 2005,7.42
NHL 2004,6.72
NFL 2K2,6.0
South Park: The Stick of Truth,8.56
Yakuza Kiwami 2,8.64
Final Fantasy XII: The Zodiac Age,8.3
Monkey Island 2 Special Edition: LeChuck's Revenge,8.4
Assassin's Creed III,6.58
Fire Emblem: The Sacred Stones,9.35
Dragon Age: Inquisition,5.85
Dark Souls: Prepare to Die Edition,6.99
The Binding of Isaac: Afterbirth +,8.53
NBA 2K13,7.18
Shadow Tactics: Blades of the Shogun,8.79
Super Smash Bros. for Nintendo 3DS,8.4
Medieval II: Total War Kingdoms,7.78
Call of Duty: World at War,7.0
West of Loathing,8.5
DJMax Respect,9.2
SUPERHOT VR,8.0
Pro Evolution Soccer 2017,7.97
Resogun: Defenders,9.0
Shovel Knight,8.7
Final Fantasy X / X-2 HD Remaster,8.59
DmC: Devil May Cry,6.13
The Legend of Zelda: Four Swords Anniversary Edition,7.69
Maboshi's Arcade,8.0
Peggle Deluxe,8.07
Viewtiful Joe 2,7.56
Tony Hawk's Underground,8.91
WWE SmackDown! Here Comes the Pain,8.81
Tony Hawk's Pro Skater 4,8.94
Hot Shots Golf 3,8.4
Monopoly Tycoon,7.78
FIFA 2001 Major League Soccer,6.33
Indigo Prophecy,7.22
Prince of Persia: The Two Thrones,7.51
Sam & Max Episode 204: Chariots of the Dogs,10.0
Marvel vs. Capcom 3: Fate of Two Worlds,7.48
Assetto Corsa,8.2
Ys VIII: Lacrimosa of DANA,8.66
Machinarium,8.46
Frozen Synapse,7.82
Champions of Norrath,8.35
F1 2016,8.69
Valkyria Chronicles,8.76
Freelancer,8.98
Guitar Hero 5,6.42
Zenzizenzic,10.0
NBA Jam: On Fire Edition,8.86
Galactic Civilizations III: Crusade,7.25
The Wolf Among Us: Episode 1 - Faith,8.77
Final Fantasy IV Advance,8.8
Final Fantasy XV: Windows Edition,6.71
SteamWorld Dig 2,8.95
Super Stardust HD,9.2
Sine Mora,7.38
Super Paper Mario,7.91
Mega Man Legacy Collection,8.62
Star Wars: Rogue Squadron,9.0
"Warhammer 40,000: Dawn of War II - Chaos Rising",6.4
Far Cry 2,5.61
Professor Layton and the Curious Village,7.93
The Walking Dead: Episode 3 - Long Road Ahead,7.22
AudioSurf,8.63
Thumper,8.18
Yakuza 0,9.08
Super Mario 64 DS,8.31
Dead Rising,7.0
MLB The Show 17,6.85
BattleBlock Theater,8.8
Dragon Ball FighterZ,7.93
Star Wars: Knights of the Old Republic II - The Sith Lords,7.83
Destiny 2,4.47
Mario Kart 7,8.15
Prince of Persia: The Two Thrones,7.51
Halo: The Master Chief Collection,7.17
Batman: The Enemy Within - Episode 5: Same Stitch,9.8
NCAA Football 11,6.73
MVP Baseball 2005,9.08
Phantasy Star Online Episode I & II,9.55
Assault Android Cactus,8.0
Persona 4 Arena Ultimax,7.9
Darksiders II,7.85
Guitar Hero: Metallica,8.69
Fire Emblem: Path of Radiance,9.39
Final Fantasy XI,7.24
Full Metal Furies,9.4
Super Mega Baseball,8.76
NASCAR Thunder 2004,8.6
DDRMAX: Dance Dance Revolution,9.6
NASCAR Thunder 2002,9.75
NHL 2001,8.8
F355 Challenge,8.0
The Elder Scrolls III: Bloodmoon,7.77
Boom Blox,8.79
Madden NFL 08,5.24
Pro Evolution Soccer 2016,7.53
Far Cry 2,5.61
Rogue Legacy,7.47
BattleBlock Theater,8.8
Shantae: Half-Genie Hero - Ultimate Edition,7.0
Castlevania: Lords of Shadow,8.3
Pokemon Diamond Version,7.83
Virtua Fighter 5,7.05
Ikaruga,9.09
Thief: Deadly Shadows,7.46
Borderlands: The Secret Armory of General Knoxx,8.44
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,8.5
UFC Undisputed 3,7.45
South Park: The Stick of Truth,8.56
The Wolf Among Us: Episode 5 - Cry Wolf,8.86
Rogue Legacy,7.47
Brothers: A Tale of Two Sons,8.68
Football Manager 2014,3.38
System Shock: Enhanced Edition,8.75
Metal Gear Solid: The Twin Snakes,9.15
EverQuest: Gates of Discord,2.0
The Lord of the Rings: The Return of the King,8.41
The Sims,7.3
NASCAR Thunder 2003,9.11
FIFA 2001 Major League Soccer,6.33
Fight Night 2004,9.59
Wipeout: Omega Collection,8.86
Mortal Kombat XL,7.87
Lego Star Wars II: The Original Trilogy,9.11
Sid Meier's Civilization V: Brave New World,7.77
The Warriors,8.66
Red Faction: Guerrilla,7.71
Geometry Wars 3: Dimensions,8.06
Ratchet & Clank,8.87
MLB The Show 16,6.76
Final Fantasy IV,7.27
Marvel vs. Capcom 2,9.35
Darkest Dungeon,7.12
Mutant Mudds Collection,7.0
NeuroVoider,8.2
Mortal Kombat,8.65
The Last Door: Season 2,7.25
F.E.A.R.,7.47
Brothers in Arms: Earned in Blood,7.95
Far Cry 4,7.67
Tetris,9.0
Final Fantasy XI,7.24
Trine 2,8.5
Need for Speed Underground,8.62
Serious Sam: The Second Encounter,8.67
The Sims: Hot Date,8.55
American McGee's Alice,7.78
Turok: Dinosaur Hunter,8.62
Castlevania: Order of Ecclesia,8.46
Batman: Arkham City - Armored Edition,9.04
Borderlands: The Secret Armory of General Knoxx,8.44
Chime Sharp,8.0
Shantae and the Pirate's Curse,9.23
Trials Evolution: Gold Edition,4.83
Prince of Persia,6.02
Moss,9.2
Bionic Commando Rearmed,7.56
Sid Meier's Civilization Revolution,7.65
ESPN NBA 2K5,7.47
"Warhammer 40,000: Dawn of War - Winter Assault",8.2
Silent Hill 3,9.0
Terraria,8.73
Tomb Raider: Definitive Edition,8.09
Starcraft Remastered,7.55
DmC: Devil May Cry,6.13
NBA 2K18,1.69
Shadow Tactics: Blades of the Shogun,8.79
Planescape: Torment - Enhanced Edition,5.92
Super Meat Boy,8.05
Pyre,7.36
Tony Hawk's Underground 2,7.24
FIFA 17,4.11
Trine 2,8.5
inFamous,8.34
"Papers, Please",8.29
DOOM,8.6
DiRT 4,7.09
Space Invaders Extreme,9.0
Tiger Woods PGA Tour 12: The Masters,6.0
Radiant Historia: Perfect Chronology,7.4
Star Wars: The Old Republic,4.02
Skate,8.51
Mario + Rabbids: Kingdom Battle,8.6
Far Cry 2,5.61
Flat Heroes,8.0
Gone Home: Console Edition,4.46
Ratchet & Clank: Size Matters,7.62
FIFA 07 Soccer,8.41
Fight Night 2004,9.59
Anarchy Online: Shadowlands,9.0
Dark Age of Camelot: Shrouded Isles,9.0
NASCAR: Dirt to Daytona,9.43
Dave Mirra Freestyle BMX 2,9.43
NFL Blitz 2000,9.33
Obsidian,
Battlefield: Bad Company,7.65
Mario Golf: Advance Tour,9.43
Call of Duty: World at War,7.0
Two Point Hospital,7.38
The Walking Dead: Episode 2 - Starved for Help,8.61
Saints Row: The Third,7.91
Bomberman Live,9.12
Ni no Kuni II: Revenant Kingdom,7.5
Project CARS 2,5.84
Statik,8.88
Fallout: New Vegas,8.03
Valkyria Chronicles Remastered,8.36
The Banner Saga 3,6.67
Peggle: Dual Shot,7.4
Disgaea: Hour of Darkness,8.52
Kingdom Hearts HD I.5 + II.5 Remix,8.26
Tiger Woods PGA Tour 11,
The Movies,8.46
Persona 4 Arena Ultimax,7.9
Crysis 2,6.85
Virtua Tennis: World Tour,9.0
Rare Replay,8.43
Mercenaries,9.14
Neverwinter Nights: Hordes of the Underdark,9.38
Max Payne 2: The Fall of Max Payne,8.85
FIFA Soccer 2004,6.61
Command & Conquer: Generals,7.44
Sid Meier's SimGolf,9.29
Quake III Revolution,2.0
Street Fighter III: Double Impact,7.5
Tom Clancy's Ghost Recon Advanced Warfighter 2,8.33
Middle-earth: Shadow of Mordor,7.95
Middle-earth: Shadow of Mordor,7.95
SpaceChem,8.92
Viva Pinata,7.97
Freedom Planet,9.04
Pinball FX 2,8.56
Pokemon Ultra Sun,8.38
Fatal Frame II: Crimson Butterfly Director's Cut,9.57
South Park: The Fractured But Whole,5.79
Blast Off,9.33
Star Wars: Starfighter,8.57
Guitar Hero World Tour,6.29
TimeSplitters: Future Perfect,9.18
PlanetSide 2,6.32
Planet Coaster,
Shovel Knight: Specter of Torment,8.7
Street Fighter X Tekken,4.6
Guilty Gear Xrd -SIGN-,9.17
'Splosion Man,8.6
Might & Magic: Clash of Heroes,9.0
TxK,8.36
Pro Evolution Soccer 2009,9.0
Beyond Good & Evil HD,8.03
Midnight Club 3: DUB Edition,8.83
High Heat Major League Baseball 2003,6.33
Super Street Fighter II: Turbo Revival,7.0
FIFA 17,4.11
Rakuen,9.78
BioShock: The Collection,8.78
GT Legends,9.1
F1 2010,7.05
Maximo: Ghosts to Glory,8.4
BlazBlue: Central Fiction,8.5
Prey,7.59
Sound Shapes,8.05
Hearthstone: Goblins Vs. Gnomes,5.8
MotorStorm,7.38
Fight Night Champion,6.79
Resident Evil 5,6.96
God of War: Origins Collection,8.96
Salt and Sanctuary,8.53
Xenogears,9.43
Space Rangers 2: Rise of the Dominators,9.54
Tetris DS,9.2
Shin Megami Tensei: Devil Survivor,7.78
Prince of Persia: The Two Thrones,7.51
Tales From The Borderlands: Episode 1 - Zer0 Sum,8.25
Top Spin 4,7.83
Sprint Vector,9.62
Battlefield 3,7.65
UFC Undisputed 2010,6.04
Monster Hunter Tri,8.75
Puzzle Quest: Challenge of the Warlords,8.44
Toki Tori 2 +,10.0
Steins;Gate 0,8.09
Assassin's Creed III,6.58
Deus Ex: Invisible War,6.1
Return to Castle Wolfenstein: Tides of War,8.26
Hitman 2: Silent Assassin,7.85
Heroes of Might and Magic IV,6.15
