Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels,recommendation
1387,Mass Effect 3: Special Edition,2012,StraightRight,Action RPG;Role-Playing;Action RPG,WiiU,Up to 4 ,8.0,"u,special,new,available,wii","Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1388,Castle Crashers,2010,TheBehemoth,Action;Beat-'Em-Up;Beat-'Em-Up;2D,PlayStation3,1-4 ,9.23,"castle,simple,awesome,fun,old","Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,Myth II: Soulblighter"
1389,Pokemon Pearl Version,2007,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,DS,2 ,8.72,"new,pokemon,old,awesome,red","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1390,Lara Croft and the Guardian of Light,2010,CrystalDynamics,Action;Action Adventure;Adventure;Shooter;General;General;Third-Person;Modern,Xbox360,not specified,8.24,"co-op,isometric,single,top,croft","Tyranny,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition,Rygar: The Legendary Adventure"
1391,BlazBlue: Chrono Phantasma Extend,2016,ArcSystemWorks,Action;Fighting;2D,PC,not specified,8.67,"blazblue,visual,interesting,fighting,unique","Pyre,Tyranny,Myth II: Soulblighter,NyxQuest: Kindred Spirits,Syphon Filter"
1392,SWAT 4,2005,IrrationalGames,Action;Shooter;Shooter;First-Person;Modern;Arcade,PC,16  Online,8.62,"swat,tactical,realistic,paintball,hard","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter: Logan's Shadow"
1393,Midnight Club II,2003,RockstarSanDiego,Driving;Racing;GT / Street,PlayStation2,1-8 ,8.66,"hard,fun,excellent,realistic,available","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Excitebots: Trick Racing"
1394,Aggressive Inline,2002,"Z-Axis,Ltd.",Sports;Alternative;Skating,Xbox,1-2 ,8.18,"inline,tony,aggressive,fantastic,easy","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,EyeToy: Kinetic"
1395,Clive Barker's Undying,2001,DreamworksGames,Action;Shooter;Shooter;First-Person;Fantasy;Fantasy;Arcade,PC,1 Player,9.61,"scary,excellent,clive,unreal,key","System Shock 2,EyeToy: Play,Syphon Filter: Logan's Shadow,Dyad,Syphon Filter"
1396,Rollcage Stage II,2000,AttentionToDetail,Driving;Racing;Futuristic,PlayStation,not specified,8.8,"half,decent,underrated,surprising,difficult","Hyper Light Drifter,Dyad,Extreme-G,Excitebike 64,Excitebots: Trick Racing"
1397,EverQuest,1999,SonyOnlineEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,Massively Multiplayer,7.29,"old,new,long,huge,favorite","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
1398,F-Zero X,1998,Nintendo,Driving;Racing;Futuristic,Nintendo64,1-4 ,8.44,"f-zero,awesome,fast,nintendo,amazing","Myth II: Soulblighter,Dyad,Extreme-G,Excitebike 64,Excitebots: Trick Racing"
1399,Trials Evolution: Origin of Pain,2012,RedLynx,Street;Driving;Racing;Simulation;Motorcycle;Automobile;Street,Xbox360,not specified,8.75,"new,excellent,big,dlc,user","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1400,Tom Clancy's Splinter Cell Double Agent,2006,UbisoftShanghai,Action Adventure;Modern;General;Modern,Xbox360,6  Online,7.83,"double,new,single,old,ubisoft","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1401,Pillars of Eternity: Complete Edition,2017,"ObsidianEntertainment,ParadoxArctic",Role-Playing;Western-Style,PlayStation4,No Online Multiplayer,7.46,"deep,original,easy,wonderful,old-school","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
1402,Bravely Default,2014,SiliconStudio,Console-style RPG;Role-Playing;Console-style RPG;Japanese-Style,3DS,No Online Multiplayer,7.76,"final,new,classic,second,interesting","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1403,DOOM,2016,idSoftware,Sci-Fi;Third-Person;Action;Shooter;First-Person;Arcade,PlayStation4,Up to 12 ,8.6,"new,old,single,original,modern","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1404,Far Cry Instincts,2005,UbisoftMontreal,Action;Shooter;First-Person;Modern,Xbox,1-16 ,8.08,"cool,single,xbox,amazing,fun","Myth: The Fallen Lords,Myst III: Exile,Myst V: End of Ages,Syphon Filter,Syphon Filter: Dark Mirror"
1405,"Warhammer 40,000: Dawn of War II",2009,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,Online Multiplayer,6.86,"new,single,original,tactical,big","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1406,Dark Souls Remastered,2018,FromSoftware,Role-Playing;Action RPG,PlayStation4,Up to 6 ,6.2,"dark,original,new,souls,old","Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,Hyper Light Drifter,System Shock: Enhanced Edition,Syberia II"
1407,Paradigm,2017,JacobJanerka,Adventure;Point-and-Click,PC,not specified,8.8,"classic,point-and-click,monkey,meme-spewing,millennial","Syberia,Myst III: Exile,Syberia II,Myst V: End of Ages,Oxenfree"
1408,NBA 2K14,2013,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,PlayStation4,Up to 10 ,4.33,"nba,new,easy,big,online","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1409,Battlefield 3,2011,EADICE,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern;Arcade,PlayStation3,Up to 24 ,7.65,"single,new,amazing,big,realistic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1410,Tekken Tag Tournament,2000,Namco,Action;Fighting;3D,PlayStation2,1-4 ,8.72,"tekken,cool,tag,new,awesome","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1411,Onimusha 3: Demon Siege,2004,Capcom,Action Adventure;Fantasy,PlayStation2,1 Player,7.67,"jean,stupid,english,french,oni","Myth: The Fallen Lords,Myth II: Soulblighter,Rygar: The Legendary Adventure,Myst III: Exile,Syberia"
1412,Red Faction: Guerrilla,2009,VolitionInc.,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,Up to 16 ,7.71,"red,fun,destructible,third,amazing","Myth: The Fallen Lords,Syphon Filter: Logan's Shadow,Dyad,Syphon Filter,Syphon Filter: Dark Mirror"
1413,Final Fantasy X-2,2003,SquareSoft,Role-Playing;Console-style RPG,PlayStation2,1 Player,7.52,"final,new,ff,easy,old","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1414,Guacamelee! 2,2018,DrinkBoxStudios,Action;Platformer;2D,PC,Up to 4 ,8.65,"new,hard,special,original,el","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1415,Battlerite,2017,StunlockStudios,Strategy;Real-Time;MOBA,PC,Online Multiplayer,8.18,"free,new,lo,easy,es","Azure Striker Gunvolt: Striker Pack,Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
1416,Command & Conquer 3: Tiberium Wars,2007,EALA,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,No Online Multiplayer,6.51,"c,new,single,red,old","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1417,Madden NFL 10,2009,EATiburon,Sports;Traditional;Team;Football;Sim;Sim,Xbox360,2 ,5.95,"madden,realistic,nfl,slow,big","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,EyeToy: Kinetic,Oxenfree"
1418,Batman: Arkham Knight,2015,RocksteadyStudios,General;Fantasy;Action Adventure;Open-World,XboxOne,No Online Multiplayer,8.03,"arkham,new,batman,big,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1419,Assassin's Creed III,2012,UbisoftQuebec,Action Adventure;Historic;Historic;Open-World,WiiU,not specified,6.58,"new,ac,ubisoft,naval,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1420,Astro Boy: Omega Factor,2004,Hitmaker,Action;Shooter;Scrolling,GameBoyAdvance,1 Player,8.71,"licenced,western,hot,popular,astro","Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
1421,BlazBlue: Continuum Shift,2010,ArcSystemWorks,Action;Fighting;Fighting;2D;2D,Xbox360,not specified,7.38,"blazblue,new,perfect,single,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1422,Life is Strange,2015,DONTNODEntertainment,Sci-Fi;Action Adventure;General,PlayStation4,No Online Multiplayer,8.53,"strange,fantastic,telltale,emotional,interesting","Rygar: The Legendary Adventure,Pyre,Tyranny,System Shock 2,Dying Light: The Following"
1423,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013,GaijinGames,Action;Miscellaneous;Rhythm;Music;Music,PC,No Online Multiplayer,8.56,"easy,new,perfect,simple,original","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock 2"
1424,Hotline Miami,2012,Dennaton,Action;Action Adventure;General;General;Linear,PC,not specified,8.25,"hard,indie,amazing,difficult,simple","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter"
1425,Guitar Hero World Tour,2008,NeversoftEntertainment,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,8  Online,6.29,"new,hard,big,easy,fun","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1426,Nioh: Bloodshed's End,2017,TeamNinja,Role-Playing;Action RPG,PlayStation4,not specified,9.67,"new,favourite,final,abyss,japanese","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1427,Out of the Park Baseball 13,2012,OutOfTheParkDevelopments,Sports;Traditional;Team;Baseball;Sim;Sim,PC,not specified,9.33,"fictional,new,historical,favorite,ootp","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1428,NHL 2004,2003,EASports,Sports;Traditional;Ice Hockey;Sim,GameCube,1-4 ,6.72,"dynasty,nhl,hockey,realistic,huge","Dying Light: The Following,EyeToy: Kinetic,Swing Away Golf,EverQuest,Everybody's Golf"
1429,World Series Baseball,2002,Blueshift,Sports;Traditional;Baseball;Sim,Xbox,1-2 ,9.0,"minor,long,pretty,easy,past","Azure Striker Gunvolt: Striker Pack,Syberia,EyeToy: Play,Myth: The Fallen Lords,Hyper Light Drifter"
1430,Wizardry 8,2001,Sir-TechSoftwareInc.,Role-Playing;First-Person;First-Person;General;Western-Style,PC,1 Player,8.93,"wizardry,tactical,deep,old-school,hard","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Myst III: Exile"
1431,Aliens Versus Predator 2,2001,MonolithProductions,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-16 ,9.24,"original,easy,difficult,scary,fps","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
1432,Operation Flashpoint: Cold War Crisis,2001,BohemiaInteractive,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,1-16 ,9.5,"realistic,military,old,easy,amazing","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Hyper Light Drifter"
1433,Rumble Racing,2001,ElectronicArts,Driving;Racing;Arcade,PlayStation2,1-2 ,8.8,"fun,unbeatable,tremendous,underrated,rumble","Myth: The Fallen Lords,Syphon Filter: Logan's Shadow,Dyad,Excitebots: Trick Racing,Excitebike 64"
1434,Metal Slug X,2001,ProSoft,Action;Shooter;Scrolling,PlayStation,1-2 ,9.43,"awesome,metal,hard,arcady,funny","Myth II: Soulblighter,Syphon Filter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter"
1435,Tropico,2001,PopTopSoftware,Strategy;Miscellaneous;Real-Time;Management;Compilation;Modern;Modern;Government,PC,1 Player,9.09,"tropico,excellent,new,fantastic,single","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1436,Giants: Citizen Kabuto,2000,PlanetMoonStudios,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-10 ,9.77,"unique,citizen,amazing,original,fantastic","Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Pyre,System Shock: Enhanced Edition,Syberia II"
1437,MotoGP 3: Ultimate Racing Technology,2005,ClimaxGroup,Driving;Racing;Motorcycle;Street,Xbox,16  Online,8.0,"easy,shallow,proper,grand,extreme","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Dyad"
1438,Rocket League,2015,"Psyonix,PanicButton",Racing;Futuristic;Sports;Team;Soccer;Arcade,PlayStation4,Up to 8 ,8.67,"fun,easy,simple,free,new","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Syphon Filter"
1439,Dead or Alive 4,2005,TeamNinja,Action;Fighting;Fighting;3D;3D,Xbox360,16  Online,7.18,"new,deep,alive,doa,online","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1440,NASCAR SimRacing,2005,EATiburon,Driving;Racing;Simulation;Stock Car;Stock Car;Automobile,PC,44  Online,4.78,"ea,realistic,drivable,usual,net","Dyad,Excitebots: Trick Racing,Excitebike 64,Extreme-G,Twisted Metal: Black"
1441,Pure,2008,BlackRockStudio,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,Up to 16 ,7.56,"awesome,played,difficult,classic,hard","Myth II: Soulblighter,Hyper Light Drifter,Syberia,Myth: The Fallen Lords,Syphon Filter: Dark Mirror"
1442,LocoRoco 2,2009,SCEJapanStudio,Action;Platformer;Platformer;2D;2D,PSP,1-4 ,8.4,"imaginative,aesthetic,vibrant,gorgeous,colourful","NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,Dynasty Warriors 3"
1443,Crysis 2,2011,Crytek,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,Up to 12 ,6.85,"original,new,single,amazing,linear","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
1444,The Lord of the Rings Online: Mines of Moria,2008,TurbineInc.,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,Massively Multiplayer,8.36,"new,legendary,unique,underground,excellent","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1445,SoulCalibur IV,2008,Namco,Action;Fighting;Fighting;3D;3D,PlayStation3,4  Online,7.67,"online,new,soulcalibur,unique,familiar","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1446,Kingdom Hearts,2002,SquareSoft,Role-Playing;Action RPG,PlayStation2,1 Player,8.95,"final,favorite,amazing,new,hard","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1447,The Binding of Isaac: Afterbirth,2015,Nicalis,Action;Shooter;Shoot-'Em-Up;Top-Down,PC,not specified,8.65,"new,afterbirth,que,awesome,addictive","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1448,Hotline Miami,2013,"AbstractionGames,Dennaton",Action;Action Adventure;General;General;Linear,PlayStationVita,not specified,8.25,"hard,indie,amazing,difficult,simple","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter"
1449,Amnesia: The Dark Descent,2010,FrictionalGames,Action Adventure;Horror;Horror;Survival,PC,not specified,8.74,"scary,dark,survival,frictional,amazing","System Shock 2,Syphon Filter: Logan's Shadow,Hyper Light Drifter,Dying Light: The Following,System Shock: Enhanced Edition"
1450,SoulCalibur IV,2008,Namco,Action;Fighting;Fighting;3D;3D,Xbox360,4  Online,7.67,"online,new,soulcalibur,unique,familiar","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1451,Project Gotham Racing,2001,BizarreCreations,Driving;Racing;GT / Street,Xbox,1-4 ,8.07,"xbox,fantastic,happy,sweet,wish","Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing,Twisted Metal: Black"
1452,Fable,2004,BigBlueBox,Role-Playing;Action RPG,Xbox,1 Player,7.56,"fable,fun,easy,cool,linear","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Pyre"
1453,Forza Horizon,2012,"PLAYGROUND,PlaygroundGames",Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,Up to 8 ,8.16,"forza,beautiful,new,realistic,fantastic","Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,System Shock 2,Myth II: Soulblighter"
1454,Chaos Reborn,2015,SnapshotGamesInc.,Fantasy;Strategy;Turn-Based;General,PC,not specified,8.82,"original,single,unique,turn-based,magic","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth II: Soulblighter"
1455,Assassin's Creed Origins,2017,"Ubisoft,UbisoftMontreal",Action Adventure;Open-World,XboxOne,No Online Multiplayer,7.06,"ubisoft,new,ac,big,beautiful","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1456,GTR: FIA GT Racing Game,2005,SimBin,Driving;Racing;Simulation;GT / Street;Automobile,PC,Up to 60 ,9.0,"german,new,official,non-official,slow","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1457,Final Fantasy IX,2017,"SquareSoft,SquareEnix",Role-Playing;Japanese-Style,PlayStation4,No Online Multiplayer,9.1,"final,ff,old,favorite,beautiful","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Hyper Light Drifter"
1458,Shadow Hearts: Covenant,2004,Nautilus,Role-Playing;Console-style RPG,PlayStation2,1 Player,9.0,"final,unique,new,dark,funny","Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Pyre,System Shock 2,Dying Light: The Following"
1459,Rogue Legacy,2014,CellarDoorGames,Action;Platformer;Platformer;2D;2D,PlayStationVita,1 Player,7.47,"new,hard,addictive,fun,rogue-like","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1460,Madden NFL 10,2009,EATiburon,Sports;Traditional;Team;Football;Sim;Sim,PlayStation3,2 ,5.95,"madden,realistic,nfl,slow,big","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,EyeToy: Kinetic,Oxenfree"
1461,Syphon Filter: Logan's Shadow,2007,SonyBend,Action;Shooter;Shooter;Third-Person;Modern;Modern;Arcade,PSP,8  Online,9.7,"third,dark,enjoyable,perfect,action/shooter","Hyper Light Drifter,NyxQuest: Kindred Spirits,Dyad,Syphon Filter,Syphon Filter: Dark Mirror"
1462,Football Manager 2011,2010,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,not specified,8.86,"realistic,tactical,new,addictive,enjoyable","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1463,Dust: An Elysian Tail,2013,HumbleHearts,Role-Playing;Action RPG;Action RPG,PC,No Online Multiplayer,8.99,"amazing,beautiful,elysian,fantastic,easy","Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords"
1464,NBA Live 2005,2004,EACanada,Sports;Traditional;Basketball;Sim,Xbox,2  Online,7.42,"slam,live,nba,new,easy","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1465,NHL 2004,2003,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,1-8 ,6.72,"dynasty,nhl,hockey,realistic,huge","Dying Light: The Following,EyeToy: Kinetic,Swing Away Golf,EverQuest,Everybody's Golf"
1466,NFL 2K2,2001,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,6.0,"personal,friggan,ai","EyeToy: Kinetic,Swing Away Golf,Everybody's Golf,Out of the Park Baseball 17,Out of the Park Baseball 15"
1467,South Park: The Stick of Truth,2014,ObsidianEntertainment,Role-Playing;General;General,PC,No Online Multiplayer,8.56,"south,funny,new,hilarious,park","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1468,Yakuza Kiwami 2,2018,Sega,Action Adventure;Open-World,PlayStation4,No Online Multiplayer,8.64,"new,original,small,yakuza,big","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1469,Final Fantasy XII: The Zodiac Age,2018,SquareEnix,Role-Playing;Japanese-Style,PC,No Online Multiplayer,8.3,"final,new,original,easy,favorite","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1470,Monkey Island 2 Special Edition: LeChuck's Revenge,2010,LucasArts,Adventure;General;General;Point-and-Click,Xbox360,not specified,8.4,"monkey,special,classic,old,original","Azure Striker Gunvolt: Striker Pack,Syberia,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits"
1471,Assassin's Creed III,2012,Ubisoft,Action Adventure;Historic;Historic;Open-World,PlayStation3,Up to 8 ,6.58,"new,ac,ubisoft,naval,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1472,Fire Emblem: The Sacred Stones,2005,IntelligentSystems,Strategy;Turn-Based;Fantasy,GameBoyAdvance,1-4 ,9.35,"sacred,new,extra,favorite,fantastic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1473,Dragon Age: Inquisition,2014,BioWare,General;Role-Playing;General;Action RPG;Western-Style,XboxOne,Up to 4 ,5.85,"tactical,big,new,huge,dragon","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
1474,Dark Souls: Prepare to Die Edition,2012,FromSoftware,Role-Playing;Action RPG;Action RPG,PC,Online Multiplayer,6.99,"dark,hard,new,console,difficult","Syphon Filter: Logan's Shadow,Hyper Light Drifter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Dyad"
1475,The Binding of Isaac: Afterbirth +,2017,EdmundMcMillen,Action;Shooter;Shoot-'Em-Up;Top-Down,Switch,No Online Multiplayer,8.53,"portable,hard,new,isaac,super","Syphon Filter: Dark Mirror,Myth: The Fallen Lords,Hyper Light Drifter,Dyad,System Shock 2"
1476,NBA 2K13,2012,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,WiiU,1 Player,7.18,"new,nba,huge,hard,online","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1477,Shadow Tactics: Blades of the Shogun,2016,MimimiProductions,Strategy;Real-Time;Tactics,PC,No Online Multiplayer,8.79,"shadow,hard,tactical,japanese,new","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock 2"
1478,Super Smash Bros. for Nintendo 3DS,2014,BandaiNamcoGames,Fighting;3D;2D;Action;Fighting;2D;3D,3DS,Up to 4 ,8.4,"new,smash,u,super,nintendo","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1479,Medieval II: Total War Kingdoms,2007,CreativeAssembly,Strategy;Real-Time;Historic;General,PC,8  Online,7.78,"new,original,total,medieval,safe","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1480,Call of Duty: World at War,2008,Treyarch,Action;Shooter;Shooter;First-Person;Historic;Historic;Arcade,PlayStation3,Up to 18 ,7.0,"single,modern,new,cod,nazi","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1481,West of Loathing,2018,AsymmetricPublications,Role-Playing;General,Switch,No Online Multiplayer,8.5,"funny,hilarious,stick,entire,new","Myst III: Exile,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1482,DJMax Respect,2018,RockyStudio,Action;Rhythm;Music,PlayStation4,2 ,9.2,"addictive,hard,challenging,rhythm,future","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock 2"
1483,SUPERHOT VR,2016,SUPERHOT,Action;Shooter;First-Person;Tactical,PC,No Online Multiplayer,8.0,"vr,new,original,available,important","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1484,Pro Evolution Soccer 2017,2016,Konami,Sports;Team;Soccer;Sim,PlayStation4,Up to 22 ,7.97,"big,fifa,realistic,easy,new","Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myth: The Fallen Lords"
1485,Resogun: Defenders,2015,Housemarque,Action;Shooter;Shoot-'Em-Up;Horizontal,PlayStation4,not specified,9.0,"new,complete,resogun,littlebigplanet,terrible","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1486,Shovel Knight,2014,YachtClubGames,Platformer;2D;Action;Platformer;2D,PC,not specified,8.7,"new,shovel,old,mega,8-bit","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
1487,Final Fantasy X / X-2 HD Remaster,2014,Virtuos,Role-Playing;Miscellaneous;Console-style RPG;Compilation;Compilation,PlayStation3,No Online Multiplayer,8.59,"final,new,original,old,x-2","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1488,DmC: Devil May Cry,2013,"NinjaTheory,QLOC",Action;General;Action Adventure;Fantasy;General;Fantasy;Linear,PC,No Online Multiplayer,6.13,"new,old,easy,original,dmc","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
1489,The Legend of Zelda: Four Swords Anniversary Edition,2011,GREZZO,Action Adventure;Fantasy;General;Fantasy,DS,not specified,7.69,"free,new,single,original,amazing","Azure Striker Gunvolt: Striker Pack,Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
1490,Maboshi's Arcade,2008,Mindware,Miscellaneous;Puzzle;Action;Puzzle;Puzzle;Action,Wii,1-3 ,8.0,"puzzle,simple","Azure Striker Gunvolt: Striker Pack,Myst III: Exile,Myth: The Fallen Lords,Syphon Filter,Dyad"
1491,Peggle Deluxe,2007,PopCap,Miscellaneous;Puzzle;Action;Puzzle;Puzzle;Action,PC,not specified,8.07,"modern,addictive,fun,awesome,memorable","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Myth II: Soulblighter,MySims Agents,Syphon Filter"
