Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels,recommendation
4595,NCAA College Football 2K2,2001,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4596,FIFA 07 Soccer,2006,EASports,Sports;Traditional;Team;Soccer;Sim;Sim,PC,4  Online,8.41,"fifa,pro,u,ea,actual","Syphon Filter: Dark Mirror,EyeToy: Kinetic,Swing Away Golf,Everybody's Golf,Quake III Arena"
4597,Hand of Fate,2015,DefiantDevelopment,Role-Playing;Miscellaneous;General;Board / Card Game,PC,No Online Multiplayer,,,"Azure Striker Gunvolt: Striker Pack,Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4"
4598,Mortal Kombat: Shaolin Monks,2005,MidwayStudios-LosAngeles,Action;Beat-'Em-Up,Xbox,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4599,Q.U.B.E. 2,2018,ToxicGames,Action;Shooter;First-Person;Arcade,XboxOne,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4600,Brass Tactics,2018,HiddenPathEntertainment,Strategy;Real-Time;Tactics,PC,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4601,Heavy Rain & Beyond: Two Souls Collection,2016,QuanticDream,Miscellaneous;Compilation,PlayStation4,not specified,,,"Azure Striker Gunvolt: Striker Pack,Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4"
4602,Call of Duty: Modern Warfare 3,2011,"InfinityWard,SledgehammerGames",Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,not specified,3.95,"new,modern,single,old,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4603,NHL 06,2005,EACanada,Sports;Traditional;Ice Hockey;Sim,GameCube,1-4 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4604,RIGS: Mechanized Combat League,2016,GuerillaCambridge,Simulation;Vehicle;Combat,PlayStation4,Up to 6 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4605,Star Wars: Republic Commando,2005,LucasArts,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,16  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4606,Penumbra: Black Plague,2008,FrictionalGames,Action Adventure;Horror;Horror;Survival,PC,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4607,World Soccer Winning Eleven 9,2006,KCET,Sports;Traditional;Team;Soccer;Sim;Sim,PSP,1-2 ,6.92,"wrong,difficult,slow,fifa,hard","Hyper Light Drifter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Dyad,EyeToy: Kinetic"
4608,DiRT 4,2017,Codemasters,Racing;Simulation;Automobile,PC,Online Multiplayer,7.09,"new,procedural,’,free,fun","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4609,Marvel's Guardians of the Galaxy: The Telltale Series,2017,TelltaleGames,Action;Adventure;General;3D;Third-Person,PC,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4610,Avernum 2: Crystal Souls,2015,SpiderwebSoftware,PC-style RPG;Role-Playing;Western-Style,PC,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4611,Watch Dogs,2014,UbisoftMontreal,Action Adventure;Modern;General;Modern;Open-World,XboxOne,Up to 8 ,6.62,"ubisoft,watch,new,fun,gta","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4612,Grand Theft Auto: Liberty City Stories,2006,RockstarLeeds,Action Adventure;Modern,PlayStation2,1 Player,7.42,"gta,new,grand,big,liberty","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4613,Resident Evil: Revelations,2017,Capcom,Action Adventure;Survival,Switch,not specified,8.83,"evil,resident,new,scary,re","Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
4614,Elemental: Fallen Enchantress,2012,Stardock,Strategy;Turn-Based;Fantasy;General,PC,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4615,Crimson Gem Saga,2009,"IronNosCo.,Ltd.",Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,PSP,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4616,Heavy Rain,2016,"QuanticDream,Virtuos",Adventure;3D;Third-Person,PlayStation4,not specified,8.06,"heavy,interactive,amazing,new,quick","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4617,Electronic Super Joy,2015,MichaelToddGames,Action;Rhythm;Platformer;2D;Music,WiiU,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4618,So Many Me,2014,ExtendInteractive,Miscellaneous;Action;Puzzle;Puzzle;Action,PC,No Online Multiplayer,,,"Azure Striker Gunvolt: Striker Pack,Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4"
4619,MotoGP '07,2007,"ClimaxGroup,ClimaxStudios",Driving;Racing;Simulation;Motorcycle;Automobile;Street;Street,Xbox360,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4620,Wings of Prey,2009,GaijinEntertainment,Simulation;Flight;WWII;WWII;Combat,PC,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4621,Cladun: This is an RPG,2010,SystemPrisma,Role-Playing;Action RPG;General;Action RPG,PSP,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4622,NHL 2K7,2006,KushGames,Sports;Traditional;Team;Ice Hockey;Sim;Sim,Xbox360,1-4 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4623,Pro Evolution Soccer 2012,2011,Konami,Sports;Traditional;Team;Football;Soccer;Sim;Sim;Sim,Xbox360,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4624,The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,2006,EALA,Strategy;Real-Time;Fantasy;General;Fantasy,PC,8  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4625,Tales of the Abyss,2006,Namco,Role-Playing;Console-style RPG,PlayStation2,1-4 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4626,Baldur's Gate II: Enhanced Edition,2013,OverhaulGames,PC-style RPG;Role-Playing;PC-style RPG;Western-Style,PC,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4627,State of Decay,2013,UndeadLabs,Action Adventure;Horror;Horror;Survival,Xbox360,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4628,Dynasty Tactics 2,2003,Koei,Strategy;Turn-Based;Historic,PlayStation2,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,EyeToy: Kinetic"
4629,Retro/Grade,2012,"24CaratGames,24CaretGames",Action;Shooter;Rhythm;Shooter;Scrolling;Music;Scrolling,PlayStation3,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4630,Sonic & All-Stars Racing Transformed,2012,SumoDigital,Driving;Racing;Arcade;Kart;Other;Kart,WiiU,Up to 10 ,7.73,"sonic,sega,kart,mario,new","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4631,Under Night In-Birth Exe:Late[st],2018,French-Bread,Action;Fighting;2D,PlayStation4,Up to 8 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4632,Fallout 4: Far Harbor,2016,BethesdaGameStudios,Role-Playing;Western-Style,XboxOne,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4633,Sonic Colors,2010,SonicTeam,Action;Platformer;Platformer;3D;2D;3D,Wii,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4634,The Adventure Pals,2018,MassiveMonster,Action;Platformer;2D,Switch,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4635,NHL 06,2005,EACanada,Sports;Traditional;Ice Hockey;Sim,PlayStation2,8  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4636,Far Cry Instincts Predator,2006,UbisoftMontreal,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,16  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4637,LEGO City Undercover,2017,TTGames,Action Adventure;Open-World,Switch,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4638,Skylanders Trap Team,2014,ToysforBob,Action;Platformer;3D,XboxOne,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4639,The Sims 2: Open for Business,2006,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,1 Player,,,"Azure Striker Gunvolt: Striker Pack,Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4"
4640,Immortal Redneck,2018,"CremaGames,CremaGames",Action;Shooter;First-Person;Arcade,XboxOne,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4641,Disgaea 3: Absence of Detention,2012,NipponIchiSoftware,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,PlayStationVita,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4642,AlphaBounce,2010,MadMonkeyStudio,Action;General;General,DS,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4643,Fire Emblem: Radiant Dawn,2007,IntelligentSystems,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,Wii,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4644,Max Payne,2003,MobiusEntertainment,Action;Shooter;Third-Person;Modern,GameBoyAdvance,1 Player,8.94,"max,old,new,awesome,slow","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
4645,The Simpsons: Hit & Run,2003,RadicalEntertainment,Driving;Mission-based,PlayStation2,1-4 ,7.87,"grand,hard,funny,fun,big","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Myth II: Soulblighter"
4646,MLB 2003,2002,989Sports,Sports;Traditional;Baseball;Arcade,PlayStation,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4647,Pokemon Stadium 2,2001,HALLabs,Strategy;General,Nintendo64,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4648,NBA Live 2001,2001,EASports,Sports;Traditional;Team;Basketball;Sim;Sim,PC,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4649,Earth 2150,2000,TopWareInteractive,Strategy;Real-Time;Sci-Fi;Sci-Fi;General;Command,PC,1-8 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4650,Heavy Metal: F.A.K.K. 2,2000,RitualEntertainment,Action;Shooter;Shooter;Third-Person;Fantasy;Arcade,PC,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4651,StarLancer,2000,DigitalAnvil,Simulation;Sci-Fi;Space;Small Spaceship;Small Spaceship;Combat,PC,1-8 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4652,Bangai-O HD: Missile Fury,2011,Treasure,Action;Shooter;Shooter;Scrolling;Scrolling,Xbox360,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
