Title,recommendation
Silent Hill,"System Shock 2,Syberia,Dying Light: The Following,System Shock: Enhanced Edition,Rygar: The Legendary Adventure"
Fallout 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Kirby: Canvas Curse,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,Hyper Light Drifter"
Burnout Legends,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Syphon Filter: Logan's Shadow,Dyad"
Final Fantasy XIV: Heavensward,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Football Manager 2013,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Out of the Park Baseball 14,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
DiRT Rally,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock: Enhanced Edition"
The Witcher: Enhanced Edition,"Azure Striker Gunvolt: Striker Pack,Pyre,Tyranny,Myth: The Fallen Lords,Syphon Filter: Dark Mirror"
Crypt of the NecroDancer: Nintendo Switch Edition,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,System Shock 2,Myth II: Soulblighter"
UFC Undisputed 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Borderlands: The Secret Armory of General Knoxx,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Astebreed,"Dyad,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Winning Eleven: Pro Evolution Soccer 2007,"EyeToy: Kinetic,Swing Away Golf,EverQuest: The Shadows of Luclin,Everybody's Golf,Super Mario Galaxy"
Onimusha: Warlords,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Ground Control,"Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,System Shock 2"
Killer Instinct Season 3,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Pyre"
Valkyria Chronicles,"Myth II: Soulblighter,Pyre,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia"
Pillars of Eternity: Complete Edition,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Resistance: Fall of Man,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Boom Blox Bash Party,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Rise of the Tomb Raider,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Total War: WARHAMMER,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Might & Magic: Clash of Heroes,"Syberia,Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits"
Resident Evil 5,"Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Saints Row IV,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Need for Speed: Most Wanted U,"Syphon Filter: Dark Mirror,Myth: The Fallen Lords,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Unavowed,"Myth II: Soulblighter,Pyre,Myth: The Fallen Lords,System Shock: Enhanced Edition,EyeToy: Play"
DmC: Devil May Cry Definitive Edition,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Mercenaries,"Myth: The Fallen Lords,Myth II: Soulblighter,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition"
Final Fantasy X / X-2 HD Remaster,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Black Mesa,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Guitar Hero: Metallica,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
EverQuest: Omens of War,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Golden Sun: The Lost Age,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Steel Beasts,"Twisted Metal: Head-On,Two Point Hospital,Overcooked!,Punch-Out!!,Superbike 2001"
Test Drive V-Rally,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Total Annihilation,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Monster Hunter 4 Ultimate,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Patapon,"Myth II: Soulblighter,Pyre,Myth: The Fallen Lords,Syphon Filter,Dyad"
Sid Meier's Civilization IV: Beyond the Sword,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Sky Force Reloaded,"Syberia II,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
The Sims 3,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Freedom Force vs The 3rd Reich,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth II: Soulblighter"
Fluidity,"Myth: The Fallen Lords,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Thimbleweed Park,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Titanfall,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Donkey Kong Country: Tropical Freeze,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Picross 3D: Round 2,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Tribes: Ascend,"Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Borderlands 2: Tiny Tina's Assault on Dragon Keep,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Lunar 2: Eternal Blue Complete,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,System Shock: Enhanced Edition,Syberia II,Tyranny"
Alundra,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Hyper Light Drifter,Pyre"
Minecraft: Switch Edition,"Syphon Filter: Dark Mirror,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition,Rygar: The Legendary Adventure"
Gears of War 4,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Shantae and the Pirate's Curse,"Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Guilty Gear Xrd -REVELATOR-,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Pinball FX 2: Marvel Pinball,"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,Syphon Filter: Dark Mirror,Syphon Filter,Syphon Filter: Logan's Shadow"
God of War: Ghost of Sparta,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Trials HD,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter"
Her Story,"Pyre,Tyranny,Myth II: Soulblighter,System Shock 2,Dying Light: The Following"
Punch-Out!!,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,System Shock 2,Dying Light: The Following,Pyre"
ESPN College Hoops 2K5,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Myth II: Soulblighter,EyeToy: Kinetic"
Suikoden III,"Myth II: Soulblighter,EyeToy: Play,Dynasty Tactics,Pyre,Hyper Light Drifter"
Radiant Silvergun,"Hyper Light Drifter,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Starcraft II: Heart of the Swarm,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Resident Evil 7: biohazard,"Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
LEGO Star Wars II: The Original Trilogy,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Guilty Gear X2 #Reload,"Dying Light: The Following,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow"
Midnight Club II,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Excitebots: Trick Racing"
Dungeon Siege,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock: Enhanced Edition"
Star Wars: Knights of the Old Republic II: The Sith Lords,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Crysis 2,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Crashmo,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Mario & Luigi: Partners in Time,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Mortal Kombat,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Guitar Hero World Tour,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
SoulCalibur III,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
NHL 12,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
NCAA Football 11,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Street Fighter III: Third Strike Online Edition,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Final Fantasy XII: The Zodiac Age,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Max Payne 2: The Fall of Max Payne,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Homeworld Remastered Collection,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syberia"
Galactic Civilizations II: Dread Lords,"Syberia II,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
Planet Puzzle League,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Syphon Filter: Dark Mirror,MySims Agents,Myth: The Fallen Lords"
Animal Crossing: Wild World,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
DmC: Devil May Cry,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Medal of Honor Underground,"System Shock: Enhanced Edition,Myst III: Exile,Myst V: End of Ages,Dynasty Tactics,Dynasty Tactics 2"
Dino Crisis 2,"Syphon Filter: Logan's Shadow,Dying Light: The Following,NyxQuest: Kindred Spirits,System Shock 2,System Shock: Enhanced Edition"
Star Trek: Voyager Elite Force,"Myst III: Exile,Syphon Filter: Logan's Shadow,Dyad,Syphon Filter,Syphon Filter: Dark Mirror"
Need for Speed: High Stakes,"Myth II: Soulblighter,Syphon Filter: Logan's Shadow,Dyad,Excitebots: Trick Racing,Excitebike 64"
Professor Layton and the Unwound Future,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
We Love Katamari,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Worldwide Soccer Manager 2008,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Dance Central 2,"Azure Striker Gunvolt: Striker Pack,Syphon Filter,System Shock: Enhanced Edition,Syberia II,Tyranny"
Sly Cooper and the Thievius Raccoonus,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Myth II: Soulblighter,Pyre,Hyper Light Drifter"
IL-2 Sturmovik: Forgotten Battles,"Twisted Metal: Head-On,Two Point Hospital,Overcooked!,Burnout Paradise: The Ultimate Box,Guacamelee!"
Geometry Wars: Retro Evolved,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits"
Fight Night Round 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
F1 2016,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Amplitude,"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Minecraft: PlayStation 3 Edition,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Myth II: Soulblighter"
Sonic Mania,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Legend of Zelda: Four Swords Adventures,"Myth: The Fallen Lords,Myth II: Soulblighter,Rygar: The Legendary Adventure,Myst III: Exile,Syberia"
Joe Danger,"Hyper Light Drifter,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Tales of Symphonia,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Fight Night Champion,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
NBA Live 2004,"EyeToy: Kinetic,Swing Away Golf,EverQuest II: Echoes of Faydwer,Everybody's Golf,Superbike 2001"
Colin McRae Rally 3,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter"
Tom Clancy's Rainbow Six 3,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Myth II: Soulblighter"
Unreal Tournament 2003,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syphon Filter: Logan's Shadow"
Age of Wonders II: The Wizard's Throne,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Syphon Filter: Logan's Shadow"
Daytona USA,"Syphon Filter: Logan's Shadow,Dyad,Excitebots: Trick Racing,Excitebike 64,Extreme-G"
Links 2001,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
EverQuest: The Ruins of Kunark,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Full Throttle,"Myth: The Fallen Lords,Myth II: Soulblighter,System Shock: Enhanced Edition,Pyre,EyeToy: Play"
Katamari Damacy,"Myth: The Fallen Lords,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
The Lord of the Rings Online: Shadows of Angmar,"Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Grand Theft Auto: Vice City Stories,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock: Enhanced Edition"
Pony Island,"Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror"
Tomb Raider: Definitive Edition,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
"Warhammer 40,000: Dawn of War","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Myth: The Fallen Lords"
Tom Clancy's Ghost Recon Advanced Warfighter 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Tales From Space: Mutant Blobs Attack,"Myth: The Fallen Lords,Myst III: Exile,Myth II: Soulblighter,NyxQuest: Kindred Spirits,Syphon Filter"
Skate,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Warhammer Online: Age of Reckoning,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
PlayerUnknown's Battlegrounds,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Advance Wars: Days of Ruin,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Elder Scrolls IV - Knights of the Nine,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Forza Horizon 2,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Syphon Filter: Logan's Shadow,System Shock 2"
Observer,"Myth II: Soulblighter,Pyre,Myst III: Exile,Myst V: End of Ages,Syberia"
ZEN Pinball 2,"Azure Striker Gunvolt: Striker Pack,Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Moto Racer Advance,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Command & Conquer: Red Alert 2 - Yuri's Revenge,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Europa Universalis,"Myth: The Fallen Lords,Myth II: Soulblighter,Dynasty Tactics,Dynasty Tactics 2,System Shock: Enhanced Edition"
Escape from Monkey Island,"Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,Syberia,Syberia II"
Robo Recall,"Myth II: Soulblighter,System Shock 2,Dying Light: The Following,Pyre,Syberia"
IL-2 Sturmovik: 1946,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Dying Light: The Following,Extreme-G"
Dance Central 3,"Azure Striker Gunvolt: Striker Pack,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Shatter,"Myth II: Soulblighter,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Final Fantasy XIV Online: A Realm Reborn,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Luigi's Mansion: Dark Moon,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syphon Filter: Logan's Shadow"
Guitar Hero III: Legends of Rock,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Battlefield 3: Back to Karkand,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
F-Zero: Maximum Velocity,"Syphon Filter: Logan's Shadow,Dyad,Extreme-G,Excitebike 64,Excitebots: Trick Racing"
West of Loathing,"Myst III: Exile,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Dying Light: The Following,"System Shock 2,Myth II: Soulblighter,Pyre,Syberia,Syberia II"
Heroes of the Storm,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
DiRT 4,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Code:Realize - Guardian of Rebirth,"Pyre,Tyranny,Dying Light: The Following,Myst III: Exile,Syberia"
Civilization III: Conquests,"Syphon Filter: Logan's Shadow,Dynasty Tactics,Dynasty Tactics 2,Myth: The Fallen Lords,Myth II: Soulblighter"
Turok 2: Seeds of Evil,"Hyper Light Drifter,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myst III: Exile,Myst V: End of Ages"
Path of Exile,"Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Guilty Gear Xrd: Rev 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
OlliOlli2: Welcome to Olliwood,"Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Forza Motorsport 7,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Lovers in a Dangerous Spacetime,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror"
NHL 08,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock 2"
Mortal Kombat X,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Gunman Clive HD Collection,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Dyad,EyeToy: Play,MySims Agents"
Persona 4 Arena,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile"
Viewtiful Joe 2,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Pyre,Syphon Filter,Syphon Filter: Dark Mirror"
Day of the Tentacle Remastered,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
Xenoblade Chronicles 3D,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Fire Emblem Fates: Birthright,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Legend of Zelda: Twilight Princess HD,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Dark Souls Remastered,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,Hyper Light Drifter,System Shock: Enhanced Edition,Syberia II"
The Legend of Heroes: Trails of Cold Steel,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Resogun: Heroes,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tetris Party,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Allegiance,"System Shock 2,Axiom Verge,Twisted Metal: Head-On,Sword of the Stars: Born of Blood,Two Point Hospital"
Monster Hunter Generations,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Radiant Historia,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,NyxQuest: Kindred Spirits"
Shantae: Risky's Revenge,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits"
Castlevania: Portrait of Ruin,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tom Clancy's Splinter Cell: Conviction,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Cities: Skylines,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Project Gotham Racing 4,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Metroid Prime: Hunters,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock 2"
Metroid: Samus Returns,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Ni no Kuni: Wrath of the White Witch,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,System Shock 2"
The Wolf Among Us: Episode 1 - Faith,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
UFC Undisputed 2010,"Myth: The Fallen Lords,Syphon Filter: Logan's Shadow,Syphon Filter,Syphon Filter: Dark Mirror,NyxQuest: Kindred Spirits"
Bad Request,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Falcon 4.0,"Syphon Filter: Dark Mirror,Myth II: Soulblighter,Two Point Hospital,Twisted Metal: Head-On,Overcooked!"
Tom Clancy's Rainbow Six,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Oddworld: Abe's Oddysee,"Hyper Light Drifter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Dyad,NyxQuest: Kindred Spirits"
Legend of Grimrock II,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Madden NFL 09,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Sly Collection,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,EyeToy: Play"
Tatsunoko vs. Capcom: Ultimate All-Stars,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,Hyper Light Drifter"
"Sam & Max Episode 205: What's New, Beelzebub?","Myst III: Exile,Syberia,Syberia II,Myst V: End of Ages,Hyrule Warriors: Definitive Edition"
Daxter,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Myth II: Soulblighter"
Hearthstone: Whispers of the Old Gods,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
MLB 08: The Show,"EyeToy: Kinetic,Swing Away Golf,Everybody's Golf,Dust: An Elysian Tail,Superbrothers: Sword & Sworcery EP"
Unreal Championship 2: The Liandri Conflict,"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,Myth II: Soulblighter,Myth: The Fallen Lords,Hyper Light Drifter"
Yakuza 0,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Firewatch,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Pyre,Tyranny"
Battlefield 4,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tom Clancy's Rainbow Six: Vegas,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror"
Super Street Fighter IV: 3D Edition,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
City of Heroes,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock 2"
Mass Effect 3: Special Edition,"Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Castle Crashers,"Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,Myth II: Soulblighter"
Pokemon Pearl Version,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Lara Croft and the Guardian of Light,"Tyranny,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition,Rygar: The Legendary Adventure"
